meae_id,type,congress,state,geography,level,election_id,election_office,district,year,election_type
meae.congressional.congress03.nc.county,congressional,3,NC,county,state,nc.uscongress5.1793,U.S. House of Representatives,5,1793,general
meae.congressional.congress03.nc.county,congressional,3,NC,county,state,nc.uscongress2.1793,U.S. House of Representatives,2,1793,general
meae.congressional.congress03.nc.county,congressional,3,NC,county,state,nc.uscongress10.1793,U.S. House of Representatives,10,1793,general
meae.congressional.congress03.nc.county,congressional,3,NC,county,state,nc.uscongress1.1793,U.S. House of Representatives,1,1793,general
meae.congressional.congress04.nc.county,congressional,4,NC,county,state,nc.uscongress5.1795,U.S. House of Representatives,5,1795,general
meae.congressional.congress04.nc.county,congressional,4,NC,county,state,nc.uscongress7.1795,U.S. House of Representatives,7,1795,general
meae.congressional.congress04.nc.county,congressional,4,NC,county,state,nc.uscongress2.1795,U.S. House of Representatives,2,1795,general
meae.congressional.congress05.nc.county,congressional,5,NC,county,state,nc.uscongress2.1796,U.S. House of Representatives,2,1796,general
meae.congressional.congress05.nc.county,congressional,5,NC,county,state,nc.uscongress1.1796,U.S. House of Representatives,1,1796,general
meae.congressional.congress06.nc.county,congressional,6,NC,county,state,nc.uscongress7.1798,U.S. House of Representatives,7,1798,general
meae.congressional.congress06.nc.county,congressional,6,NC,county,state,nc.uscongress5.1798,U.S. House of Representatives,5,1798,general
meae.congressional.congress07.nc.county,congressional,7,NC,county,state,nc.uscongress1.1800,U.S. House of Representatives,1,1800,general
meae.congressional.congress09.nc.county,congressional,9,NC,county,state,nc.uscongress10.1804,U.S. House of Representatives,10,1804,general
meae.congressional.congress10.nc.county,congressional,10,NC,county,state,nc.uscongress4.1806,U.S. House of Representatives,4,1806,general
meae.congressional.congress11.nc.county,congressional,11,NC,county,state,nc.uscongress5.1808,U.S. House of Representatives,5,1808,general
meae.congressional.congress12.nc.county,congressional,12,NC,county,state,nc.uscongress8.1810,U.S. House of Representatives,8,1810,general
meae.congressional.congress12.nc.county,congressional,12,NC,county,state,nc.uscongress6.1810,U.S. House of Representatives,6,1810,general
meae.congressional.congress12.nc.county,congressional,12,NC,county,state,nc.uscongress3.1810,U.S. House of Representatives,3,1810,general
meae.congressional.congress12.nc.county,congressional,12,NC,county,state,nc.uscongress12.1810,U.S. House of Representatives,12,1810,general
meae.congressional.congress13.nc.county,congressional,13,NC,county,state,nc.uscongress6.1813,U.S. House of Representatives,6,1813,general
meae.congressional.congress13.nc.county,congressional,13,NC,county,state,nc.uscongress5.1813,U.S. House of Representatives,5,1813,general
meae.congressional.congress14.nc.county,congressional,14,NC,county,state,nc.uscongress5.1815,U.S. House of Representatives,5,1815,general
meae.congressional.congress14.nc.county,congressional,14,NC,county,state,nc.uscongress4.1815,U.S. House of Representatives,4,1815,general
meae.congressional.congress15.nc.county,congressional,15,NC,county,state,nc.uscongress3.1817,U.S. House of Representatives,3,1817,general
meae.congressional.congress15.nc.county,congressional,15,NC,county,state,nc.uscongress2.1817,U.S. House of Representatives,2,1817,general
meae.congressional.congress15.nc.county,congressional,15,NC,county,state,nc.uscongress13.1817,U.S. House of Representatives,13,1817,general
meae.congressional.congress15.nc.county,congressional,15,NC,county,state,nc.uscongress11.1817,U.S. House of Representatives,11,1817,general
meae.congressional.congress16.nc.county,congressional,16,NC,county,state,nc.uscongress4.1819,U.S. House of Representatives,4,1819,general
meae.congressional.congress16.nc.county,congressional,16,NC,county,state,nc.uscongress2.1819,U.S. House of Representatives,2,1819,general
meae.congressional.congress16.nc.county,congressional,16,NC,county,state,nc.uscongress13.1819,U.S. House of Representatives,13,1819,general
meae.congressional.congress16.nc.county,congressional,16,NC,county,state,nc.uscongress11.1819,U.S. House of Representatives,11,1819,general
meae.congressional.congress17.nc.county,congressional,17,NC,county,state,nc.uscongress9.1821,U.S. House of Representatives,9,1821,general
meae.congressional.congress17.nc.county,congressional,17,NC,county,state,nc.uscongress13.1821,U.S. House of Representatives,13,1821,general
meae.congressional.congress18.nc.county,congressional,18,NC,county,state,nc.uscongress8.1823,U.S. House of Representatives,8,1823,general
meae.congressional.congress18.nc.county,congressional,18,NC,county,state,nc.uscongress5.1823,U.S. House of Representatives,5,1823,general
meae.congressional.congress18.nc.county,congressional,18,NC,county,state,nc.uscongress2.1823,U.S. House of Representatives,2,1823,general
meae.congressional.congress01.nh.county,congressional,1,NH,county,state,nh.uscongress.1789,U.S. House of Representatives,NA,1789,general
meae.congressional.congress02.nh.county,congressional,2,NH,county,state,nh.uscongress.1790,U.S. House of Representatives,NA,1790,general
meae.congressional.congress03.nh.county,congressional,3,NH,county,state,nh.uscongress.1792,U.S. House of Representatives,NA,1792,general
meae.congressional.congress04.nh.county,congressional,4,NH,county,state,nh.uscongress.1794,U.S. House of Representatives,NA,1794,general
meae.congressional.congress05.nh.county,congressional,5,NH,county,state,nh.uscongress.1796,U.S. House of Representatives,NA,1796,general
meae.congressional.congress01.ny.county,congressional,1,NY,county,state,ny.uscongress6.1789,U.S. House of Representatives,6,1789,general
meae.congressional.congress01.ny.county,congressional,1,NY,county,state,ny.uscongress4.1789,U.S. House of Representatives,4,1789,general
meae.congressional.congress01.ny.county,congressional,1,NY,county,state,ny.uscongress3.1789,U.S. House of Representatives,3,1789,general
meae.congressional.congress01.ny.county,congressional,1,NY,county,state,ny.uscongress1.1789,U.S. House of Representatives,1,1789,general
meae.congressional.congress06.ny.county,congressional,6,NY,county,state,ny.uscongress8.1798,U.S. House of Representatives,8,1798,general
meae.congressional.congress18.ny.county,congressional,18,NY,county,state,ny.uscongress3.1822,U.S. House of Representatives,3,1822,general
meae.congressional.congress19.ny.county,congressional,19,NY,county,state,ny.uscongress3.1824,U.S. House of Representatives,3,1824,general
meae.congressional.congress17.oh.county,congressional,17,OH,county,state,oh.uscongress2.1820,U.S. House of Representatives,2,1820,general
meae.congressional.congress18.oh.county,congressional,18,OH,county,state,oh.uscongress4.1822,U.S. House of Representatives,4,1822,general
meae.congressional.congress02.pa.county,congressional,2,PA,county,state,pa.uscongress5.1791,U.S. House of Representatives,5,1791,general
meae.congressional.congress02.pa.county,congressional,2,PA,county,state,pa.uscongress4.1791,U.S. House of Representatives,4,1791,general
meae.congressional.congress02.pa.county,congressional,2,PA,county,state,pa.uscongress2.1791,U.S. House of Representatives,2,1791,general
meae.congressional.congress02.pa.county,congressional,2,PA,county,state,pa.uscongress1.1791,U.S. House of Representatives,1,1791,general
meae.congressional.congress04.pa.county,congressional,4,PA,county,state,pa.uscongress11.1794,U.S. House of Representatives,11,1794,general
meae.congressional.congress04.pa.county,congressional,4,PA,county,state,pa.uscongress1.1794,U.S. House of Representatives,1,1794,general
meae.congressional.congress04.pa.county,congressional,4,PA,county,state,pa.uscongress7.1794,U.S. House of Representatives,7,1794,general
meae.congressional.congress04.pa.county,congressional,4,PA,county,state,pa.uscongress5.1794,U.S. House of Representatives,5,1794,general
meae.congressional.congress04.pa.county,congressional,4,PA,county,state,pa.uscongress8.1794,U.S. House of Representatives,8,1794,general
meae.congressional.congress05.pa.county,congressional,5,PA,county,state,pa.uscongress1.1796,U.S. House of Representatives,1,1796,general
meae.congressional.congress05.pa.county,congressional,5,PA,county,state,pa.uscongress11.1796,U.S. House of Representatives,11,1796,general
meae.congressional.congress06.pa.county,congressional,6,PA,county,state,pa.uscongress1.1798,U.S. House of Representatives,1,1798,general
meae.congressional.congress07.pa.county,congressional,7,PA,county,state,pa.uscongress7.1800,U.S. House of Representatives,7,1800,general
meae.congressional.congress07.pa.county,congressional,7,PA,county,state,pa.uscongress2.1800,U.S. House of Representatives,2,1800,general
meae.congressional.congress07.pa.county,congressional,7,PA,county,state,pa.uscongress1.1800,U.S. House of Representatives,1,1800,general
meae.congressional.congress09.pa.county,congressional,9,PA,county,state,pa.uscongress9.1804,U.S. House of Representatives,9,1804,general
meae.congressional.congress10.pa.county,congressional,10,PA,county,state,pa.uscongress8.1806,U.S. House of Representatives,8,1806,general
meae.congressional.congress12.pa.county,congressional,12,PA,county,state,pa.uscongress9.1810,U.S. House of Representatives,9,1810,general
meae.congressional.congress14.pa.county,congressional,14,PA,county,state,pa.uscongress13.1814,U.S. House of Representatives,13,1814,general
meae.congressional.congress18.pa.county,congressional,18,PA,county,state,pa.congress.2.1822,U.S. House of Representatives,2,1822,general
meae.congressional.congress19.pa.county,congressional,19,PA,county,state,pa.congress.3.1824,U.S. House of Representatives,3,1824,general
meae.congressional.congress19.pa.county,congressional,19,PA,county,state,pa.congress.2.1824,U.S. House of Representatives,2,1824,general
meae.congressional.congress19.pa.county,congressional,19,PA,county,state,pa.congress.14.1824,U.S. House of Representatives,14,1824,general
meae.congressional.congress01.ri.county,congressional,1,RI,county,state,ri.uscongress1.1790,U.S. House of Representatives,NA,1790,general
meae.congressional.congress02.ri.county,congressional,2,RI,county,state,ri.uscongress2.1790,U.S. House of Representatives,NA,1790,general
meae.congressional.congress03.ri.county,congressional,3,RI,county,state,ri.uscongress.1792,U.S. House of Representatives,NA,1792,general
meae.congressional.congress04.ri.county,congressional,4,RI,county,state,ri.uscongress2.1794,U.S. House of Representatives,NA,1794,general
meae.congressional.congress04.ri.county,congressional,4,RI,county,state,ri.uscongress1.1794,U.S. House of Representatives,NA,1794,general
meae.congressional.congress06.ri.county,congressional,6,RI,county,state,ri.uscongress.1strep.1798,U.S. House of Representatives,NA,1798,general
meae.congressional.congress16.ri.county,congressional,16,RI,county,state,ri.uscongress.1818,U.S. House of Representatives,NA,1818,general
meae.congressional.congress01.sc.county,congressional,1,SC,county,state,sc.uscongress.district5.1788,U.S. House of Representatives,5,1788,general
meae.congressional.congress01.sc.county,congressional,1,SC,county,state,sc.uscongress.district4.1788,U.S. House of Representatives,4,1788,general
meae.congressional.congress01.sc.county,congressional,1,SC,county,state,sc.uscongress.district3.1788,U.S. House of Representatives,3,1788,general
meae.congressional.congress01.sc.county,congressional,1,SC,county,state,sc.uscongress.district2.1788,U.S. House of Representatives,2,1788,general
meae.congressional.congress01.sc.county,congressional,1,SC,county,state,sc.uscongress.district1.1788,U.S. House of Representatives,1,1788,general
meae.congressional.congress02.sc.county,congressional,2,SC,county,state,sc.uscongress.district5.1790,U.S. House of Representatives,5,1790,general
meae.congressional.congress02.sc.county,congressional,2,SC,county,state,sc.uscongress.district4.1790,U.S. House of Representatives,4,1790,general
meae.congressional.congress02.sc.county,congressional,2,SC,county,state,sc.uscongress.district3.1790,U.S. House of Representatives,3,1790,general
meae.congressional.congress02.sc.county,congressional,2,SC,county,state,sc.uscongress.district2.1790,U.S. House of Representatives,2,1790,general
meae.congressional.congress02.sc.county,congressional,2,SC,county,state,sc.uscongress.district1.1790,U.S. House of Representatives,1,1790,general
meae.congressional.congress03.sc.county,congressional,3,SC,county,state,sc.uscongress.district6.1793,U.S. House of Representatives,6,1793,general
meae.congressional.congress03.sc.county,congressional,3,SC,county,state,sc.uscongress.district4.1793,U.S. House of Representatives,4,1793,general
meae.congressional.congress03.sc.county,congressional,3,SC,county,state,sc.uscongress.district3.1793,U.S. House of Representatives,3,1793,general
meae.congressional.congress03.sc.county,congressional,3,SC,county,state,sc.uscongress.district2.1793,U.S. House of Representatives,2,1793,general
meae.congressional.congress03.sc.county,congressional,3,SC,county,state,sc.uscongress.district1.1793,U.S. House of Representatives,1,1793,general
meae.congressional.congress03.sc.county,congressional,3,SC,county,state,sc.uscongress.district5.1793,U.S. House of Representatives,5,1793,general
meae.congressional.congress04.sc.county,congressional,4,SC,county,state,sc.uscongress.district3.1794,U.S. House of Representatives,5,1794,general
meae.congressional.congress04.sc.county,congressional,4,SC,county,state,sc.uscongress.district2.1794,U.S. House of Representatives,2,1794,general
meae.congressional.congress04.sc.county,congressional,4,SC,county,state,sc.uscongress.district1.1794,U.S. House of Representatives,1,1794,general
meae.congressional.congress05.sc.county,congressional,5,SC,county,state,sc.uscongress.washington.1796,U.S. House of Representatives,6,1796,general
meae.congressional.congress05.sc.county,congressional,5,SC,county,state,sc.uscongress.charleston.1796,U.S. House of Representatives,1,1796,general
meae.congressional.congress06.sc.county,congressional,6,SC,county,state,sc.uscongress.charleston.1798,U.S. House of Representatives,1,1798,general
