congbio_member_name,congbio_position,congbio_party,congbio_state,congbio_birth,congbio_death,congbio_congress,join_name,congbio_id,congbio_url
"Parker, Josiah",Representative,Pro-Administration,VA,1751,1810,3,Josiah Parker,P000065,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000065
"Patten, John",Representative,Anti-Administration,DE,1746,1800,3,John Patten,P000108,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000108
"Pickens, Andrew",Representative,Anti-Administration,SC,1739,1817,3,Andrew Pickens,P000320,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000320
"Potts, Richard",Senator,Pro-Administration,MD,1753,1808,3,Richard Potts,P000473,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000473
"Preston, Francis",Representative,Anti-Administration,VA,1765,1835,3,Francis Preston,P000514,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000514
"Read, George",Senator,Pro-Administration,DE,1733,1798,3,George Read,R000091,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000091
"Robinson, Moses",Senator,Anti-Administration,VT,1741,1813,3,Moses Robinson,R000350,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000350
"Ross, James",Senator,Pro-Administration,PA,1762,1847,3,James Ross,R000448,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000448
"Rutherford, Robert",Representative,Anti-Administration,VA,1728,1803,3,Robert Rutherford,R000548,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000548
"Rutherfurd, John",Senator,Pro-Administration,NJ,1760,1840,3,John Rutherfurd,R000550,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000550
"Scott, Thomas",Representative,Pro-Administration,PA,1739,1796,3,Thomas Scott,S000186,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000186
"Sedgwick, Theodore",Representative,Federalist,MA,1746,1813,3,Theodore Sedgwick,S000222,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000222
"Sherburne, John Samuel",Representative,Anti-Administration,NH,1757,1830,3,John Samuel Sherburne,S000339,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000339
"Sherman, Roger",Senator,Pro-Administration,CT,1721,1793,3,Roger Sherman,S000349,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000349
"Smilie, John",Representative,Anti-Administration,PA,1741,1812,3,John Smilie,S000508,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000508
"Smith, Israel",Representative,,VT,1759,1810,3,Israel Smith,S000557,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000557
"Smith, Jeremiah",Representative,Pro-Administration,NH,1759,1842,3,Jeremiah Smith,S000563,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000563
"Smith, Samuel",Representative,,MD,1752,1839,3,Samuel Smith,S000609,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000609
"Smith, William Loughton",Representative,Pro-Administration,SC,1758,1812,3,William Loughton Smith,S000633,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000633
"Sprigg, Thomas",Representative,Anti-Administration,MD,1747,1809,3,Thomas Sprigg,S000753,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000753
"Strong, Caleb",Senator,Pro-Administration,MA,1745,1819,3,Caleb Strong,S001009,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001009
"Swift, Zephaniah",Representative,Pro-Administration,CT,1759,1823,3,Zephaniah Swift,S001119,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001119
"Talbot, Silas",Representative,Pro-Administration,NY,1751,1813,3,Silas Talbot,T000019,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000019
"Taylor, John",Senator,Anti-Administration,VA,1753,1824,3,John Taylor,T000086,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000086
"Tazewell, Henry",Senator,Anti-Administration,VA,1753,1799,3,Henry Tazewell,T000107,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000107
"Thacher, George",Representative,Federalist,MA,1754,1824,3,George Thacher,T000141,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000141
"Tracy, Uriah",Representative,Federalist,CT,1755,1807,3,Uriah Tracy,T000348,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000348
"Tredwell, Thomas",Representative,,NY,1743,1831,3,Thomas Tredwell,T000361,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000361
"Trumbull, Jonathan, Jr.",Representative,,CT,1740,1809,3,Jonathan Trumbull,T000389,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000389
"Van Alen, John Evert",Representative,Federalist,NY,1749,1807,3,John Evert Van Alen,V000012,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000012
"Van Cortlandt, Philip",Representative,Republican,NY,1749,1831,3,Philip Van Cortlandt,V000022,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000022
"Van Gaasbeck, Peter",Representative,,NY,1754,1797,3,Peter Van Gaasbeck,V000039,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000039
"Venable, Abraham Bedford",Representative,,VA,1758,1811,3,Abraham Bedford Venable,V000083,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000083
"Vining, John",Senator,Pro-Administration,DE,1758,1802,3,John Vining,V000104,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000104
"Wadsworth, Jeremiah",Representative,,CT,1743,1804,3,Jeremiah Wadsworth,W000013,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000013
"Wadsworth, Peleg",Representative,Federalist,MA,1748,1829,3,Peleg Wadsworth,W000014,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000014
"Walker, Francis",Representative,,VA,1764,1806,3,Francis Walker,W000051,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000051
"Ward, Artemas",Representative,,MA,1727,1800,3,Artemas Ward,W000127,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000127
"Watts, John",Representative,,NY,1749,1836,3,John Watts,W000211,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000211
"Williams, Benjamin",Representative,,NC,1751,1814,3,Benjamin Williams,W000491,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000491
"Wingate, Paine",Representative,,NH,1739,1838,3,Paine Wingate,W000633,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000633
"Winn, Richard",Representative,Republican,SC,1750,1818,3,Richard Winn,W000637,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000637
"Winston, Joseph",Representative,Republican,NC,1746,1815,3,Joseph Winston,W000642,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000642
"Ames, Fisher",Representative,Federalist,MA,1758,1808,4,Fisher Ames,A000174,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000174
"Bailey, Theodorus",Representative,Republican,NY,1758,1828,4,Theodorus Bailey,B000049,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000049
"Baldwin, Abraham",Representative,Democratic Republican,GA,1754,1807,4,Abraham Baldwin,B000084,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000084
"Bard, David",Representative,Republican,PA,1744,1815,4,David Bard,B000137,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000137
"Benton, Lemuel",Representative,Republican,SC,1754,1818,4,Lemuel Benton,B000396,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000396
"Bingham, William",Senator,Federalist,PA,1752,1804,4,William Bingham,B000474,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000474
"Bloodworth, Timothy",Senator,Democratic Republican,NC,1736,1814,4,Timothy Bloodworth,B000563,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000563
"Blount, Thomas",Representative,Republican,NC,1759,1812,4,Thomas Blount,B000569,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000569
"Blount, William",Senator,Democratic Republican,TN,1749,1800,4,William Blount,B000570,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000570
"Bourne, Benjamin",Representative,Federalist,RI,1755,1808,4,Benjamin Bourne,B000669,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000669
"Bradbury, Theophilus",Representative,Federalist,MA,1739,1803,4,Theophilus Bradbury,B000735,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000735
"Bradford, William",Senator,Pro-Administration,RI,1729,1808,4,William Bradford,B000739,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000739
"Brent, Richard",Representative,Republican,VA,1757,1814,4,Richard Brent,B000802,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000802
"Brown, John",Senator,Republican,KY,1757,1837,4,John Brown,B000929,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000929
"Bryan, Nathan",Representative,Republican,NC,1748,1798,4,Nathan Bryan,B000991,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000991
"Buck, Daniel",Representative,Federalist,VT,1753,1816,4,Daniel Buck,B001014,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001014
"Burges, Dempsey",Representative,Republican,NC,1751,1800,4,Dempsey Burges,B001081,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001081
"Burr, Aaron",Senator,Anti-Administration,NY,1756,1836,4,Aaron Burr,B001133,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001133
"Butler, Pierce",Senator,Democratic Republican,SC,1744,1822,4,Pierce Butler,B001186,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001186
"Cabell, Samuel Jordan",Representative,Republican,VA,1756,1818,4,Samuel Jordan Cabell,C000005,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000005
"Cabot, George",Senator,Pro-Administration,MA,1752,1823,4,George Cabot,C000009,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000009
"Christie, Gabriel",Representative,Republican,MD,1755,1808,4,Gabriel Christie,C000382,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000382
"Claiborne, Thomas",Representative,Republican,VA,1749,1812,4,Thomas Claiborne,C000406,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000406
"Clopton, John",Representative,Republican,VA,1756,1816,4,John Clopton,C000531,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000531
"Cocke, William",Senator,Democratic Republican,TN,1748,1828,4,William Cocke,C000572,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000572
"Coit, Joshua",Representative,Federalist,CT,1758,1798,4,Joshua Coit,C000600,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000600
"Coles, Isaac",Representative,Republican,VA,1747,1813,4,Isaac Coles,C000624,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000624
"Cooper, William",Representative,Federalist,NY,1754,1809,4,William Cooper,C000764,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000764
"Crabb, Jeremiah",Representative,Federalist,MD,1760,1800,4,Jeremiah Crabb,C000848,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000848
"Craik, William",Representative,Federalist,MD,1761,1814,4,William Craik,C000863,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000863
"Dana, Samuel Whittlesey",Representative,Federalist,CT,1760,1830,4,Samuel Whittlesey Dana,D000024,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000024
"Davenport, James",Representative,Federalist,CT,1758,1797,4,James Davenport,D000073,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000073
"Dayton, Jonathan",Representative,Federalist,NJ,,,4,Jonathan Dayton,D000165,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000165
"Dearborn, Henry",Representative,Republican,MA,1751,1829,4,Henry Dearborn,D000178,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000178
"Dent, George",Representative,Federalist,MD,1756,1813,4,George Dent,D000254,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000254
"Duvall, Gabriel",Representative,Republican,MD,1752,1844,4,Gabriel Duvall,D000578,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000578
"Earle, Samuel",Representative,Republican,SC,1760,1833,4,Samuel Earle,E000010,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000010
"Ege, George",Representative,Federalist,PA,1748,1829,4,George Ege,E000089,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000089
"Ellsworth, Oliver",Senator,Pro-Administration,CT,1745,1807,4,Oliver Ellsworth,E000147,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000147
"Findley, William",Representative,Republican,PA,1741/1742,1821,4,William Findley,F000124,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000124
"Foster, Abiel",Representative,Federalist,NH,1735,1806,4,Abiel Foster,F000297,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000297
"Foster, Dwight",Representative,Federalist,MA,1757,1823,4,Dwight Foster,F000301,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000301
"Foster, Theodore",Senator,Federalist,RI,1752,1828,4,Theodore Foster,F000313,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000313
"Franklin, Jesse",Representative,Democratic Republican,NC,1760,1823,4,Jesse Franklin,F000344,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000344
"Freeman, Nathaniel, Jr.",Representative,Federalist,MA,1766,1800,4,Nathaniel Freeman,F000365,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000365
"Frelinghuysen, Frederick",Senator,Pro-Administration,NJ,1753,1804,4,Frederick Frelinghuysen,F000368,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000368
"Gallatin, Albert",Representative,Republican,PA,1761,1849,4,Albert Gallatin,G000020,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000020
"Gilbert, Ezekiel",Representative,Federalist,NY,1756,1841,4,Ezekiel Gilbert,G000173,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000173
"Giles, William Branch",Representative,Republican,VA,1762,1830,4,William Branch Giles,G000183,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000183
"Gillespie, James",Representative,Republican,NC,c1747,1805,4,James Gillespie,G000196,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000196
"Gilman, Nicholas",Representative,Democratic Republican,NH,1755,1814,4,Nicholas Gilman,G000215,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000215
"Glen, Henry",Representative,Federalist,NY,1739,1814,4,Henry Glen,G000235,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000235
"Goodhue, Benjamin",Representative,Federalist,MA,1748,1814,4,Benjamin Goodhue,G000286,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000286
"Goodhue, Benjamin",Senator,Federalist,MA,,,4,Benjamin Goodhue,G000286,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000286
"Goodrich, Chauncey",Representative,Federalist,CT,1759,1815,4,Chauncey Goodrich,G000293,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000293
"Greenup, Christopher",Representative,Republican,KY,1750,1818,4,Christopher Greenup,G000434,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000434
"Gregg, Andrew",Representative,Democratic Republican,PA,1755,1835,4,Andrew Gregg,G000442,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000442
"Griswold, Roger",Representative,Federalist,CT,1762,1812,4,Roger Griswold,G000488,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000488
"Grove, William Barry",Representative,Federalist,NC,1764,1818,4,William Barry Grove,G000502,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000502
"Gunn, James",Senator,Anti-Administration,GA,1753,1801,4,James Gunn,G000526,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000526
"Hampton, Wade",Representative,Republican,SC,1752,1835,4,Wade Hampton,H000140,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000140
"Hancock, George",Representative,Federalist,VA,1754,1820,4,George Hancock,H000148,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000148
"Harper, Robert Goodloe",Representative,,SC,1765,1825,4,Robert Goodloe Harper,H000225,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000225
"Harrison, Carter Bassett",Representative,Republican,VA,c1756,1808,4,Carter Bassett Harrison,H000266,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000266
"Hartley, Thomas",Representative,Federalist,PA,1748,1800,4,Thomas Hartley,H000299,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000299
"Hathorn, John",Representative,Republican,NY,1749,1825,4,John Hathorn,H000348,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000348
"Havens, Jonathan Nicoll",Representative,Republican,NY,1757,1799,4,Jonathan Nicoll Havens,H000359,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000359
"Heath, John",Representative,Republican,VA,1758,1810,4,John Heath,H000431,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000431
"Henderson, Thomas",Representative,Federalist,NJ,1743,1824,4,Thomas Henderson,H000488,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000488
"Henry, John",Senator,Pro-Administration,MD,1750,1798,4,John Henry,H000508,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000508
"Hiester, Daniel",Representative,Republican,PA,1747,1804,4,Daniel Hiester,H000570,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000570
"Hillhouse, James",Representative,,CT,1754,1832,4,James Hillhouse,H000618,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000618
"Hillhouse, James",Senator,Federalist,CT,,,4,James Hillhouse,H000618,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000618
"Hindman, William",Representative,Federalist,MD,1743,1822,4,William Hindman,H000629,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000629
"Holland, James",Representative,Republican,NC,1754,1823,4,James Holland,H000718,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000718
"Howard, John Eager",Senator,Federalist,MD,1752,1827,4,John Eager Howard,H000841,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000841
"Hunter, John",Senator,Democratic Republican,SC,1732/1760,1802,4,John Hunter,H000982,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000982
"Jackson, Andrew",Representative,Democratic Republican,TN,1767,1845,4,Andrew Jackson,J000005,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000005
"Jackson, George",Representative,Republican,VA,1757,1831,4,George Jackson,J000012,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000012
"Jackson, James",Senator,Anti-Administration,GA,1757,1806,4,James Jackson,J000017,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000017
"King, Rufus",Senator,Federalist,NY,1755,1827,4,Rufus King,K000212,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000212
"Kitchell, Aaron",Representative,Democratic Republican,NJ,1744,1820,4,Aaron Kitchell,K000246,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000246
"Kittera, John Wilkes",Representative,Federalist,PA,1752,1801,4,John Wilkes Kittera,K000253,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000253
"Langdon, John",Senator,Democratic Republican,NH,1741,1819,4,John Langdon,L000067,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000067
"Latimer, Henry",Senator,Federalist,DE,1752,1819,4,Henry Latimer,L000115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000115
"Laurance, John",Senator,Federalist,NY,1750,1810,4,John Laurance,L000120,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000120
"Leonard, George",Representative,Federalist,MA,1729,1819,4,George Leonard,L000246,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000246
"Livermore, Samuel",Senator,Pro-Administration,NH,1732,1803,4,Samuel Livermore,L000364,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000364
"Livingston, Edward",Representative,,NY,1764,1836,4,Edward Livingston,L000366,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000366
"Locke, Matthew",Representative,Republican,NC,1730,1801,4,Matthew Locke,L000389,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000389
"Lyman, Samuel",Representative,Federalist,MA,1749,1802,4,Samuel Lyman,L000528,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000528
"Lyman, William",Representative,Republican,MA,1755,1811,4,William Lyman,L000530,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000530
"Maclay, Samuel",Representative,Democratic Republican,PA,1741,1811,4,Samuel Maclay,M000029,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000029
"Macon, Nathaniel",Representative,Democratic Republican,NC,1757,1837,4,Nathaniel Macon,M000034,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000034
"Madison, James, Jr.",Representative,Republican,VA,1751,1836,4,James Madison,M000043,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000043
"Malbone, Francis",Representative,Federalist,RI,1759,1809,4,Francis Malbone,M000076,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000076
"Marshall, Humphrey",Senator,Federalist,KY,1760,1841,4,Humphrey Marshall,M000155,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000155
"Martin, Alexander",Senator,Anti-Administration,NC,1740,1807,4,Alexander Martin,M000166,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000166
"Mason, Stevens Thomson",Senator,Democratic Republican,VA,1760,1803,4,Stevens Thomson Mason,M000226,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000226
"Milledge, John",Representative,Democratic Republican,GA,1757,1818,4,John Milledge,M000712,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000712
"Moore, Andrew",Representative,Democratic Republican,VA,1752,1821,4,Andrew Moore,M000891,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000891
"Muhlenberg, Frederick Augustus Conrad",Representative,Republican,PA,1750,1801,4,Frederick Augustus Conrad Muhlenberg,M001063,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001063
"Murray, William Vans",Representative,Federalist,MD,1760,1803,4,William Vans Murray,M001119,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001119
"New, Anthony",Representative,Republican,VA,1747,1833,4,Anthony New,N000058,http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000058
"Nicholas, John",Representative,Republican,VA,1757c,1819,4,John Nicholas,N000084,http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000084
"Orr, Alexander Dalrymple",Representative,Republican,KY,1761,1835,4,Alexander Dalrymple Orr,O000101,http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000101
"Page, John",Representative,Republican,VA,1743,1808,4,John Page,P000018,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000018
"Paine, Elijah",Senator,Federalist,VT,1757,1842,4,Elijah Paine,P000026,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000026
"Parker, Josiah",Representative,Federalist,VA,1751,1810,4,Josiah Parker,P000065,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000065
"Patten, John",Representative,Republican,DE,1746,1800,4,John Patten,P000108,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000108
"Potter, Elisha Reynolds",Representative,Federalist,RI,1764,1835,4,Elisha Reynolds Potter,P000463,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000463
"Potts, Richard",Senator,Pro-Administration,MD,1753,1808,4,Richard Potts,P000473,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000473
"Preston, Francis",Representative,Republican,VA,1765,1835,4,Francis Preston,P000514,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000514
"Read, Jacob",Senator,Federalist,SC,1752,1816,4,Jacob Read,R000092,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000092
"Reed, John",Representative,Federalist,MA,1751,1831,4,John Reed,R000120,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000120
"Richards, John",Representative,Republican,PA,1753,1822,4,John Richards,R000215,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000215
"Robinson, Moses",Senator,Anti-Administration,VT,1741,1813,4,Moses Robinson,R000350,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000350
"Ross, James",Senator,Pro-Administration,PA,1762,1847,4,James Ross,R000448,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000448
"Rutherford, Robert",Representative,Republican,VA,1728,1803,4,Robert Rutherford,R000548,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000548
"Rutherfurd, John",Senator,Pro-Administration,NJ,1760,1840,4,John Rutherfurd,R000550,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000550
"Sedgwick, Theodore",Senator,Federalist,MA,1746,1813,4,Theodore Sedgwick,S000222,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000222
"Sedgwick, Theodore",Representative,Federalist,MA,,,4,Theodore Sedgwick,S000222,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000222
"Sewall, Samuel",Representative,Federalist,MA,1757,1814,4,Samuel Sewall,S000259,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000259
"Sherburne, John Samuel",Representative,Republican,NH,1757,1830,4,John Samuel Sherburne,S000339,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000339
"Sitgreaves, Samuel",Representative,Federalist,PA,1764,1827,4,Samuel Sitgreaves,S000460,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000460
"Skinner, Thomson Joseph",Representative,Republican,MA,1752,1809,4,Thomson Joseph Skinner,S000471,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000471
"Smith, Isaac",Representative,Federalist,NJ,1740,1807,4,Isaac Smith,S000555,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000555
"Smith, Israel",Representative,Democratic Republican,VT,1759,1810,4,Israel Smith,S000557,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000557
"Smith, Jeremiah",Representative,Federalist,NH,1759,1842,4,Jeremiah Smith,S000563,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000563
"Smith, Nathaniel",Representative,Federalist,CT,1762,1822,4,Nathaniel Smith,S000595,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000595
"Smith, Samuel",Representative,Democratic Republican,MD,1752,1839,4,Samuel Smith,S000609,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000609
"Smith, William Loughton",Representative,Federalist,SC,1758,1812,4,William Loughton Smith,S000633,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000633
"Sprigg, Richard, Jr.",Representative,Republican,MD,1769c,1806,4,Richard Sprigg,S000752,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000752
"Sprigg, Thomas",Representative,Republican,MD,1747,1809,4,Thomas Sprigg,S000753,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000753
"Stockton, Richard",Senator,Federalist,NJ,1764,1828,4,Richard Stockton,S000941,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000941
"Strong, Caleb",Senator,Pro-Administration,MA,1745,1819,4,Caleb Strong,S001009,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001009
"Strudwick, William Francis",Representative,Federalist,NC,c1765,1812,4,William Francis Strudwick,S001029,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001029
"Swanwick, John",Representative,Republican,PA,1760,1798,4,John Swanwick,S001095,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001095
"Swift, Zephaniah",Representative,Federalist,CT,1759,1823,4,Zephaniah Swift,S001119,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001119
"Tatom, Absalom",Representative,Republican,NC,1742,1802,4,Absalom Tatom,T000050,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000050
"Tattnall, Josiah",Senator,Democratic Republican,GA,1762,1803,4,Josiah Tattnall,T000052,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000052
