congbio_member_name,congbio_position,congbio_party,congbio_state,congbio_birth,congbio_death,congbio_congress,join_name,congbio_id,congbio_url,candidate_id
"Mcfarlan, Duncan",Representative,Republican,NC,NA,1816,9,Duncan Mcfarlan,M000437,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000437,NA
"Moseley, Jonathan Ogden",Representative,Federalist,CT,1762,1838,9,Jonathan Ogden Moseley,M001023,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001023,NA
"Mumford, Gurdon Saltonstall",Representative,Republican,NY,1764,1831,9,Gurdon Saltonstall Mumford,M001076,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001076,NA
"Pitkin, Timothy",Representative,Federalist,CT,1766,1847,9,Timothy Pitkin,P000368,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000368,NA
"Quincy, Josiah",Representative,Federalist,MA,1772,1864,9,Josiah Quincy,Q000015,http://bioguide.congress.gov/scripts/biodisplay.pl?index=Q000015,NA
"Schuneman, Martin Gerretsen",Representative,Republican,NY,1764,1827,9,Martin Gerretsen Schuneman,S000149,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000149,NA
"Smith, O'brien",Representative,Republican,SC,1756c,1811,9,O'brien Smith,S000598,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000598,NA
"Sturges, Lewis Burr",Representative,Federalist,CT,1763,1844,9,Lewis Burr Sturges,S001048,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001048,NA
"Thompson, Thomas Weston",Representative,Federalist,NH,1766,1821,9,Thomas Weston Thompson,T000220,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000220,NA
"Thruston, Buckner",Senator,Democratic Republican,KY,1763,1845,9,Buckner Thruston,T000249,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000249,NA
"Tracy, Uri",Representative,Republican,NY,1764,1838,9,Uri Tracy,T000347,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000347,NA
"Turner, James",Senator,Democratic Republican,NC,1766,1824,9,James Turner,T000423,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000423,NA
"Williams, David Rogerson",Representative,Republican,SC,1776,1830,9,David Rogerson Williams,W000495,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000495,NA
"Alston, Lemuel James",Representative,Republican,SC,1760,1836,10,Lemuel James Alston,A000165,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000165,NA
"Calhoun, Joseph",Representative,Republican,SC,1750,1817,10,Joseph Calhoun,C000045,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000045,NA
"Carleton, Peter",Representative,Republican,NH,1755,1828,10,Peter Carleton,C000148,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000148,NA
"Champion, Epaphroditus",Representative,Federalist,CT,1756,1834,10,Epaphroditus Champion,C000288,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000288,NA
"Crawford, William Harris",Senator,Democratic Republican,GA,1772,1834,10,William Harris Crawford,C000895,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000895,NA
"Culpepper, John",Representative,Federalist,NC,1761,1841,10,John Culpepper,C000976,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000976,NA
"Dean, Josiah",Representative,Republican,MA,1748,1818,10,Josiah Dean,D000173,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000173,NA
"Durell, Daniel Meserve",Representative,Republican,NH,1769,1841,10,Daniel Meserve Durell,D000565,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000565,NA
"Gholson, Thomas, Jr.",Representative,Republican,VA,NA,1816,10,Thomas Gholson,G000150,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000150,NA
"Hiester, John",Representative,Republican,PA,1745,1821,10,John Hiester,H000573,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000573,NA
"Humphrey, Reuben",Representative,Republican,NY,1757,1831,10,Reuben Humphrey,H000957,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000957,NA
"Johnson, Richard Mentor",Representative,Democratic Republican,KY,1780,1850,10,Richard Mentor Johnson,J000170,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000170,NA
"Livermore, Edward St. Loe",Representative,Federalist,MA,1762,1832,10,Edward St. Loe Livermore,L000363,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000363,NA
"Lloyd, James",Senator,Federalist,MA,1769,1831,10,James Lloyd,L000378,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000378,NA
"Mathewson, Elisha",Senator,Democratic Republican,RI,1767,1853,10,Elisha Mathewson,M000240,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000240,NA
"Meigs, Return Jonathan, Jr.",Senator,Democratic Republican,OH,1764,1825,10,Return Jonathan Meigs,M000633,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000633,NA
"Montgomery, Daniel, Jr.",Representative,Republican,PA,1765,1831,10,Daniel Montgomery,M000864,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000864,NA
"Tiffin, Edward",Senator,Democratic Republican,OH,1766,1829,10,Edward Tiffin,T000268,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000268,NA
"Troup, George Michael",Representative,Democratic Republican,GA,1780,1856,10,George Michael Troup,T000382,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000382,NA
"Van Alen, James Isaac",Representative,Democratic Republican,NY,1772,1822,10,James Isaac Van Alen,V000011,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000011,NA
"Wharton, Jesse",Representative,Democratic Republican,TN,1782,1833,10,Jesse Wharton,W000324,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000324,NA
"Witherell, James",Representative,Republican,VT,1759,1838,10,James Witherell,W000657,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000657,NA
"Barry, William Taylor",Representative,Democratic Republican,KY,1784,1835,11,William Taylor Barry,B000192,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000192,NA
"Breckinridge, James",Representative,Federalist,VA,1763,1833,11,James Breckinridge,B000785,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000785,NA
"Chamberlain, John Curtis",Representative,Federalist,NH,1772,1834,11,John Curtis Chamberlain,C000279,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000279,NA
"Cheves, Langdon",Representative,Republican,SC,1776,1857,11,Langdon Cheves,C000350,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000350,NA
"Garland, David Shepherd",Representative,Republican,VA,1769,1841,11,David Shepherd Garland,G000066,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000066,NA
"Gold, Thomas Ruggles",Representative,Federalist,NY,1764,1827,11,Thomas Ruggles Gold,G000257,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000257,NA
"Griswold, Stanley",Senator,Democratic Republican,OH,1763,1815,11,Stanley Griswold,G000489,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000489,NA
"Haven, Nathaniel Appleton",Representative,Federalist,NH,1762,1831,11,Nathaniel Appleton Haven,H000354,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000354,NA
"Hiester, Daniel",Representative,Republican,PA,1774,1834,11,Daniel Hiester,H000571,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000571,NA
"Horsey, Outerbridge",Senator,Federalist,DE,1777,1842,11,Outerbridge Horsey,H000795,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000795,NA
"Hubbard, Jonathan Hatch",Representative,Federalist,VT,1768,1849,11,Jonathan Hatch Hubbard,H000886,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000886,NA
"Livingston, Robert Le Roy",Representative,Federalist,NY,1778,1836,11,Robert Le Roy Livingston,L000370,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000370,NA
"Mathews, Vincent",Representative,Federalist,NY,1766,1846,11,Vincent Mathews,M000239,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000239,NA
"Mcbryde, Archibald",Representative,Federalist,NC,1766,1836,11,Archibald Mcbryde,M000302,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000302,NA
"Mckee, Samuel",Representative,Republican,KY,1774,1826,11,Samuel Mckee,M000496,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000496,NA
"Mckim, Alexander",Representative,Republican,MD,1748,1832,11,Alexander Mckim,M000515,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000515,NA
"Mckinley, William",Representative,Republican,VA,NA,NA,11,William Mckinley,M000520,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000520,NA
"Miller, Pleasant Moorman",Representative,Republican,TN,NA,1849,11,Pleasant Moorman Miller,M000750,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000750,NA
"Porter, Peter Buell",Representative,Republican,NY,1773,1844,11,Peter Buell Porter,P000446,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000446,NA
"Ringgold, Samuel",Representative,Republican,MD,1770,1829,11,Samuel Ringgold,R000263,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000263,NA
"Roane, John",Representative,Republican,VA,1766,1838,11,John Roane,R000291,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000291,NA
"Scudder, John Anderson",Representative,Republican,NJ,1759,1836,11,John Anderson Scudder,S000200,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000200,NA
"Tait, Charles",Senator,Democratic Republican,GA,1768,1835,11,Charles Tait,T000015,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000015,NA
"Weakley, Robert",Representative,Republican,TN,1764,1845,11,Robert Weakley,W000220,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000220,NA
"Whiteside, Jenkin",Senator,Democratic Republican,TN,1772,1822,11,Jenkin Whiteside,W000411,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000411,NA
"Witherspoon, Robert",Representative,Republican,SC,1767,1837,11,Robert Witherspoon,W000661,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000661,NA
"Bartlett, Josiah, Jr.",Representative,Republican,NH,1768,1838,12,Josiah Bartlett,B000207,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000207,NA
"Bibb, George Mortimer",Senator,Democratic Republican,KY,1776,1859,12,George Mortimer Bibb,B000433,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000433,NA
"Calhoun, John Caldwell",Representative,Democratic Republican,SC,1782,1850,12,John Caldwell Calhoun,C000044,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000044,NA
"Condict, Lewis",Representative,Republican,NJ,1772,1862,12,Lewis Condict,C000668,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000668,NA
"Cooke, Thomas Burrage",Representative,Republican,NY,1778,1853,12,Thomas Burrage Cooke,C000734,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000734,NA
"Destréhan, Jean Noel",Senator,Unknown,LA,1754,1823,12,Jean Noel Destréhan,D000273,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000273,NA
"Dinsmoor, Samuel",Representative,Republican,NH,1766,1835,12,Samuel Dinsmoor,D000357,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000357,NA
"Grosvenor, Thomas Peabody",Representative,Federalist,NY,1778,1817,12,Thomas Peabody Grosvenor,G000498,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000498,NA
"Harper, John Adams",Representative,Republican,NH,1779,1816,12,John Adams Harper,H000223,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000223,NA
"Howell, Jeremiah Brown",Senator,Democratic Republican,RI,1771,1822,12,Jeremiah Brown Howell,H000865,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000865,NA
"Hungerford, John Pratt",Representative,Republican,VA,1761,1833,12,John Pratt Hungerford,H000967,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000967,NA
"King, William Rufus De Vane",Representative,Democratic Republican,NC,1786,1853,12,William Rufus De Vane King,K000217,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000217,NA
"Lowndes, William",Representative,Republican,SC,1782,1822,12,William Lowndes,L000483,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000483,NA
"Magruder, Allan Bowie",Senator,Democratic Republican,LA,1775,1822,12,Allan Bowie Magruder,M000056,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000056,NA
"Maxwell, George Clifford",Representative,Republican,NJ,1771,1816,12,George Clifford Maxwell,M000267,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000267,NA
"Mccoy, William",Representative,Republican,VA,NA,1864,12,William Mccoy,M000377,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000377,NA
"Richardson, William Merchant",Representative,Republican,MA,1774,1838,12,William Merchant Richardson,R000231,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000231,NA
"Ridgely, Henry Moore",Representative,Federalist,DE,1779,1847,12,Henry Moore Ridgely,R000245,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000245,NA
"Rodman, William",Representative,Republican,PA,1757,1824,12,William Rodman,R000375,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000375,NA
"Stuart, Philip",Representative,Federalist,MD,1760,1830,12,Philip Stuart,S001036,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001036,NA
"Van Cortlandt, Pierre, Jr.",Representative,Republican,NY,1762,1848,12,Pierre Van Cortlandt,V000023,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000023,NA
"Barbour, Philip Pendleton",Representative,Republican,VA,1783,1841,13,Philip Pendleton Barbour,B000131,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000131,NA
"Bayly, Thomas Monteagle",Representative,Federalist,VA,1775,1834,13,Thomas Monteagle Bayly,B000260,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000260,NA
"Bines, Thomas",Representative,Republican,NJ,NA,1826,13,Thomas Bines,B000467,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000467,NA
"Bledsoe, Jesse",Senator,Democratic Republican,KY,1776,1836,13,Jesse Bledsoe,B000554,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000554,NA
"Bowen, John H.",Representative,Republican,TN,1780,1822,13,John H. Bowen,B000684,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000684,NA
"Bowers, John Myer",Representative,Federalist,NY,1772,1846,13,John Myer Bowers,B000691,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000691,NA
"Bradley, William Czar",Representative,Republican,VT,1782,1867,13,William Czar Bradley,B000748,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000748,NA
"Bulloch, William Bellinger",Senator,Democratic Republican,GA,1777,1852,13,William Bellinger Bulloch,B001051,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001051,NA
"Chappell, John Joel",Representative,Republican,SC,1782,1871,13,John Joel Chappell,C000320,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000320,NA
"Clendenin, David",Representative,Republican,OH,1779c,NA,13,David Clendenin,C000510,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000510,NA
"Comstock, Oliver Cromwell",Representative,Republican,NY,1780,1860,13,Oliver Cromwell Comstock,C000664,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000664,NA
"Conard, John",Representative,Republican,PA,1773,1857,13,John Conard,C000667,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000667,NA
"Coxe, William, Jr.",Representative,Federalist,NJ,1762,1831,13,William Coxe,C000843,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000843,NA
"Crouch, Edward",Representative,Republican,PA,1764,1827,13,Edward Crouch,C000934,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000934,NA
"Denoyelles, Peter",Representative,Republican,NY,1766,1829,13,Peter Denoyelles,D000252,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000252,NA
"Duval, William Pope",Representative,Republican,KY,1784,1854,13,William Pope Duval,D000577,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000577,NA
"Evans, David Reid",Representative,Republican,SC,1769,1843,13,David Reid Evans,E000238,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000238,NA
"Farrow, Samuel",Representative,Republican,SC,1759,1824,13,Samuel Farrow,F000036,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000036,NA
"Fromentin, Eligius",Senator,Democratic Republican,LA,unknown,1822,13,Eligius Fromentin,F000389,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000389,NA
"Glasgow, Hugh",Representative,Republican,PA,1769,1818,13,Hugh Glasgow,G000231,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000231,NA
"Gourdin, Theodore",Representative,Republican,SC,1764,1826,13,Theodore Gourdin,G000345,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000345,NA
"Griffin, Isaac",Representative,Republican,PA,1756,1827,13,Isaac Griffin,G000461,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000461,NA
"Hasbrouck, Abraham Joseph",Representative,Republican,NY,1773,1845,13,Abraham Joseph Hasbrouck,H000313,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000313,NA
"Hawkins, Joseph H.",Representative,Republican,KY,NA,1823,13,Joseph H. Hawkins,H000372,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000372,NA
"Hopkins, Samuel Miles",Representative,Federalist,NY,1772,1837,13,Samuel Miles Hopkins,H000780,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000780,NA
"Howell, Nathaniel Woodhull",Representative,Federalist,NY,1770,1851,13,Nathaniel Woodhull Howell,H000867,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000867,NA
"Hulbert, John Whitefield",Representative,Federalist,MA,1770,1831,13,John Whitefield Hulbert,H000935,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000935,NA
"Humphreys, Parry Wayne",Representative,Republican,TN,1778,1839,13,Parry Wayne Humphreys,H000962,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000962,NA
"Ingersoll, Charles Jared",Representative,Republican,PA,1782,1862,13,Charles Jared Ingersoll,I000015,http://bioguide.congress.gov/scripts/biodisplay.pl?index=I000015,NA
"Ingham, Samuel Delucenna",Representative,Republican,PA,1779,1860,13,Samuel Delucenna Ingham,I000022,http://bioguide.congress.gov/scripts/biodisplay.pl?index=I000022,NA
"Kershaw, John",Representative,Republican,SC,1765,1829,13,John Kershaw,K000149,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000149,NA
"Kilbourne, James",Representative,Republican,OH,1770,1850,13,James Kilbourne,K000169,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000169,NA
"Locke, Francis",Senator,Unknown,NC,1776,1823,13,Francis Locke,L000387,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000387,NA
"Mcarthur, Duncan",Representative,Republican,OH,1772,1839,13,Duncan Mcarthur,M000299,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000299,NA
"Mclean, John",Representative,Republican,OH,1785,1861,13,John Mclean,M000549,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000549,NA
"Miller, Morris Smith",Representative,Federalist,NY,1779,1824,13,Morris Smith Miller,M000747,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000747,NA
"Moffitt, Hosea",Representative,Federalist,NY,1757,1825,13,Hosea Moffitt,M000840,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000840,NA
"Murfree, William Hardy",Representative,Republican,NC,1781,1827,13,William Hardy Murfree,M001084,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001084,NA
"Oakley, Thomas Jackson",Representative,Federalist,NY,1783,1857,13,Thomas Jackson Oakley,O000003,http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000003,NA
"Rich, Charles",Representative,Republican,VT,1771,1824,13,Charles Rich,R000207,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000207,NA
"Sharp, Solomon P.",Representative,Republican,KY,1780,1825,13,Solomon P. Sharp,S000295,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000295,NA
"Shipherd, Zebulon Rudd",Representative,Federalist,NY,1768,1841,13,Zebulon Rudd Shipherd,S000366,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000366,NA
"Smith, William Stephens",Representative,Federalist,NY,1755,1816,13,William Stephens Smith,S000638,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000638,NA
"Talbot, Isham",Senator,Democratic Republican,KY,1773,1837,13,Isham Talbot,T000017,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000017,NA
"Walker, George",Senator,Democratic Republican,KY,1763,1819,13,George Walker,W000053,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000053,NA
"Ward, Artemas, Jr.",Representative,Federalist,MA,1762,1847,13,Artemas Ward,W000128,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000128,NA
"Wood, Abiel",Representative,Republican,MA,1772,1834,13,Abiel Wood,W000687,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000687,NA
"Ashmun, Eli Porter",Senator,Federalist,MA,1770,1819,14,Eli Porter Ashmun,A000317,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000317,NA
"Atherton, Charles Humphrey",Representative,Federalist,NH,1773,1853,14,Charles Humphrey Atherton,A000324,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000324,NA
"Bennet, Benjamin",Representative,Republican,NJ,1764,1840,14,Benjamin Bennet,B000368,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000368,NA
"Betts, Samuel Rossiter",Representative,Republican,NY,1787,1868,14,Samuel Rossiter Betts,B000427,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000427,NA
"Blount, William Grainger",Representative,Republican,TN,1784,1827,14,William Grainger Blount,B000571,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000571,NA
"Boss, John Linscom, Jr.",Representative,Federalist,RI,1780,1819,14,John Linscom Boss,B000650,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000650,NA
"Bryan, Joseph Hunter",Representative,Republican,NC,1782,1839,14,Joseph Hunter Bryan,B000990,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000990,NA
"Burnside, Thomas",Representative,Republican,PA,1782,1851,14,Thomas Burnside,B001132,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001132,NA
"Clark, James West",Representative,Republican,NC,1779,1843,14,James West Clark,C000438,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000438,NA
"Clarke, Archibald Smith",Representative,Republican,NY,1788,1821,14,Archibald Smith Clarke,C000456,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000456,NA
"Conner, Samuel Shepard",Representative,Republican,MA,1783c,1820,14,Samuel Shepard Conner,C000692,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000692,NA
"Edwards, Weldon Nathaniel",Representative,Republican,NC,1788,1873,14,Weldon Nathaniel Edwards,E000083,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000083,NA
"Forney, Daniel Munroe",Representative,Republican,NC,1784,1847,14,Daniel Munroe Forney,F000278,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000278,NA
"Hammond, Jabez Delano",Representative,Republican,NY,1778,1855,14,Jabez Delano Hammond,H000127,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000127,NA
"Hardin, Martin D.",Senator,Federalist,KY,1780,1823,14,Martin D. Hardin,H000186,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000186,NA
"Harrison, William Henry",Representative,NA,OH,1773,1841,14,William Henry Harrison,H000279,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000279,NA
"Herbert, John Carlyle",Representative,Federalist,MD,1775,1846,14,John Carlyle Herbert,H000525,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000525,NA
"Jewett, Luther",Representative,Federalist,VT,1772,1860,14,Luther Jewett,J000107,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000107,NA
"Love, William Carter",Representative,Republican,NC,1784,1835,14,William Carter Love,L000460,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000460,NA
"Maclay, William Plunkett",Representative,Republican,PA,1774,1842,14,William Plunkett Maclay,M000033,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000033,NA
"Mason, Armistead Thomson",Senator,Democratic Republican,VA,1787,1819,14,Armistead Thomson Mason,M000213,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000213,NA
"Mason, James Brown",Representative,Federalist,RI,1775,1819,14,James Brown Mason,M000215,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000215,NA
"Mayrant, William",Representative,Republican,SC,NA,NA,14,William Mayrant,M000288,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000288,NA
"Mclean, Alney",Representative,Republican,KY,1779,1841,14,Alney Mclean,M000544,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000544,NA
"Middleton, Henry",Representative,Republican,SC,1770,1846,14,Henry Middleton,M000699,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000699,NA
"Miller, Stephen Decatur",Representative,Nullifier,SC,1787,1838,14,Stephen Decatur Miller,M000755,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000755,NA
"Mills, Elijah Hunt",Representative,Federalist,MA,1776,1829,14,Elijah Hunt Mills,M000774,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000774,NA
"Nelson, Thomas Maduit",Representative,Republican,VA,1782,1853,14,Thomas Maduit Nelson,N000043,http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000043,NA
"Noble, James",Senator,Democratic Republican,IN,1785,1831,14,James Noble,N000118,http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000118,NA
"Parris, Albion Keith",Representative,Republican,MA,1788,1857,14,Albion Keith Parris,P000079,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000079,NA
"Roane, William Henry",Representative,Republican,VA,1787,1845,14,William Henry Roane,R000293,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000293,NA
"Ruggles, Benjamin",Senator,Democratic Republican,OH,1783,1857,14,Benjamin Ruggles,R000500,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000500,NA
"Sanford, Nathan",Senator,Democratic Republican,NY,1777,1838,14,Nathan Sanford,S000052,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000052,NA
"Schenck, Abraham Henry",Representative,Republican,NY,1775,1831,14,Abraham Henry Schenck,S000115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000115,NA
"Taul, Micah",Representative,Republican,KY,1785,1850,14,Micah Taul,T000054,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000054,NA
"Throop, Enos Thompson",Representative,Republican,NY,1784,1874,14,Enos Thompson Throop,T000247,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000247,NA
"Tucker, Henry St. George",Representative,Republican,VA,1780,1848,14,Henry St. George Tucker,T000398,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000398,NA
"Wendover, Peter Hercules",Representative,Republican,NY,1768,1834,14,Peter Hercules Wendover,W000293,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000293,NA
"Wilde, Richard Henry",Representative,Republican,GA,1789,1847,14,Richard Henry Wilde,W000460,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000460,NA
"Wilkin, James Whitney",Representative,Republican,NY,1762,1845,14,James Whitney Wilkin,W000472,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000472,NA
"Wilson, James Jefferson",Senator,Democratic Republican,NJ,1775,1824,14,James Jefferson Wilson,W000595,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000595,NA
