file,congress,statename,id,district,startcong,endcong
districtShapes/districts004.dbf,4,Pennsylvania,042004006008,8,4,6
districtShapes/districts004.dbf,4,Pennsylvania,042004006009,9,4,6
districtShapes/districts004.dbf,4,Kentucky,021002006001,1,2,6
districtShapes/districts004.dbf,4,Kentucky,021002006002,2,2,6
districtShapes/districts004.dbf,4,Maryland,024003007001,1,3,7
districtShapes/districts004.dbf,4,Maryland,024003007002,2,3,7
districtShapes/districts004.dbf,4,New York,036003005001,1,3,5
districtShapes/districts004.dbf,4,New York,036003005003,3,3,5
districtShapes/districts004.dbf,4,New York,036003005004,4,3,5
districtShapes/districts004.dbf,4,New York,036003005005,5,3,5
districtShapes/districts004.dbf,4,New York,036003005006,6,3,5
districtShapes/districts004.dbf,4,New York,036003005007,7,3,5
districtShapes/districts004.dbf,4,New York,036003005008,8,3,5
districtShapes/districts004.dbf,4,New York,036003005009,9,3,5
districtShapes/districts004.dbf,4,Massachusetts,025004007010,10,4,7
districtShapes/districts004.dbf,4,Massachusetts,025004007011,11,4,7
districtShapes/districts004.dbf,4,Massachusetts,025004007012,12,4,7
districtShapes/districts004.dbf,4,Massachusetts,025004007013,13,4,7
districtShapes/districts004.dbf,4,Massachusetts,025004007014,14,4,7
districtShapes/districts004.dbf,4,Massachusetts,025004007001,1,4,7
districtShapes/districts004.dbf,4,Massachusetts,025004007002,2,4,7
districtShapes/districts004.dbf,4,Massachusetts,025004007003,3,4,7
districtShapes/districts004.dbf,4,Massachusetts,025004007004,4,4,7
districtShapes/districts004.dbf,4,Massachusetts,025004007005,5,4,7
districtShapes/districts004.dbf,4,Massachusetts,025004007006,6,4,7
districtShapes/districts004.dbf,4,Massachusetts,025004007007,7,4,7
districtShapes/districts004.dbf,4,Massachusetts,025004007008,8,4,7
districtShapes/districts004.dbf,4,Massachusetts,025004007009,9,4,7
districtShapes/districts004.dbf,4,New York,036003005002,2,3,5
districtShapes/districts004.dbf,4,New Hampshire,033003007000,0,3,7
districtShapes/districts004.dbf,4,New Jersey,034003005000,0,3,5
districtShapes/districts004.dbf,4,North Carolina,037003007001,1,3,7
districtShapes/districts004.dbf,4,North Carolina,037003007010,10,3,7
districtShapes/districts004.dbf,4,North Carolina,037003007002,2,3,7
districtShapes/districts004.dbf,4,North Carolina,037003007003,3,3,7
districtShapes/districts004.dbf,4,North Carolina,037003007004,4,3,7
districtShapes/districts004.dbf,4,North Carolina,037003007005,5,3,7
districtShapes/districts004.dbf,4,North Carolina,037003007006,6,3,7
districtShapes/districts004.dbf,4,North Carolina,037003007007,7,3,7
districtShapes/districts004.dbf,4,North Carolina,037003007008,8,3,7
districtShapes/districts004.dbf,4,North Carolina,037003007009,9,3,7
districtShapes/districts004.dbf,4,Rhode Island,044003027000,0,3,27
districtShapes/districts004.dbf,4,South Carolina,045003007001,1,3,7
districtShapes/districts004.dbf,4,South Carolina,045003007002,2,3,7
districtShapes/districts004.dbf,4,South Carolina,045003007003,3,3,7
districtShapes/districts004.dbf,4,South Carolina,045003007004,4,3,7
districtShapes/districts004.dbf,4,South Carolina,045003007005,5,3,7
districtShapes/districts004.dbf,4,South Carolina,045003007006,6,3,7
districtShapes/districts004.dbf,4,Tennessee,0470040050-1,-1,4,5
districtShapes/districts004.dbf,4,Tennessee,047004005000,0,4,5
districtShapes/districts004.dbf,4,Virginia,051003007010,10,3,7
districtShapes/districts004.dbf,4,Virginia,051003007011,11,3,7
districtShapes/districts004.dbf,4,Virginia,051003007012,12,3,7
districtShapes/districts004.dbf,4,Virginia,051003007013,13,3,7
districtShapes/districts004.dbf,4,Virginia,051003007014,14,3,7
districtShapes/districts004.dbf,4,Virginia,051003007015,15,3,7
districtShapes/districts004.dbf,4,Virginia,051003007016,16,3,7
districtShapes/districts004.dbf,4,Virginia,051003007017,17,3,7
districtShapes/districts004.dbf,4,Virginia,051003007018,18,3,7
districtShapes/districts004.dbf,4,Virginia,051003007019,19,3,7
districtShapes/districts004.dbf,4,Virginia,051003007001,1,3,7
districtShapes/districts004.dbf,4,Virginia,051003007002,2,3,7
districtShapes/districts004.dbf,4,Virginia,051003007003,3,3,7
districtShapes/districts004.dbf,4,Virginia,051003007004,4,3,7
districtShapes/districts004.dbf,4,Virginia,051003007005,5,3,7
districtShapes/districts004.dbf,4,Virginia,051003007006,6,3,7
districtShapes/districts004.dbf,4,Virginia,051003007007,7,3,7
districtShapes/districts004.dbf,4,Virginia,051003007008,8,3,7
districtShapes/districts004.dbf,4,Virginia,051003007009,9,3,7
districtShapes/districts004.dbf,4,Pennsylvania,042004006010,10,4,6
districtShapes/districts004.dbf,4,Pennsylvania,042004006011,11,4,6
districtShapes/districts004.dbf,4,Pennsylvania,042004006012,12,4,6
districtShapes/districts004.dbf,4,Pennsylvania,042004006001,1,4,6
districtShapes/districts004.dbf,4,Pennsylvania,042004006002,2,4,6
districtShapes/districts005.dbf,5,Maryland,024003007003,3,3,7
districtShapes/districts005.dbf,5,Maryland,024003007004,4,3,7
districtShapes/districts005.dbf,5,Maryland,024003007005,5,3,7
