congbio_member_name,congbio_position,congbio_party,congbio_state,congbio_birth,congbio_death,congbio_congress,join_name,congbio_id,congbio_url,name_id
"Whitehill, Robert",Representative,Republican,PA,1738,1813,9,Robert Whitehill,W000404,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000404,WR0123
"Alston, Lemuel James",Representative,Republican,SC,1760,1836,10,Lemuel James Alston,A000165,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000165,AL0009
"Bacon, Ezekiel",Representative,Republican,MA,1776,1870,10,Ezekiel Bacon,B000015,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000015,BE0242
"Champion, Epaphroditus",Representative,Federalist,CT,1756,1834,10,Epaphroditus Champion,C000288,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000288,CE0020
"Cobb, Howell",Representative,Republican,GA,1772,1818,10,Howell Cobb,C000547,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000547,CH0029
"Culpepper, John",Representative,Federalist,NC,1761,1841,10,John Culpepper,C000976,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000976,CJ0545
"Calhoun, Joseph",Representative,Republican,SC,1750,1817,10,Joseph Calhoun,C000045,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000045,CJ1013
"Carleton, Peter",Representative,Republican,NH,1755,1828,10,Peter Carleton,C000148,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000148,CP0071
"Crawford, William Harris",Senator,Democratic Republican,GA,1772,1834,10,William Harris Crawford,C000895,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000895,CW0010
"Durell, Daniel Meserve",Representative,Republican,NH,1769,1841,10,Daniel Meserve Durell,D000565,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000565,DD0071
"Desha, Joseph",Representative,Republican,KY,1768,1842,10,Joseph Desha,D000271,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000271,DJ0079
"Dean, Josiah",Representative,Republican,MA,1748,1818,10,Josiah Dean,D000173,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000173,DJ0177
"Franklin, Meshack",Representative,Republican,NC,1772,1839,10,Meshack Franklin,F000346,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000346,FM0021
"Gardenier, Barent",Representative,Federalist,NY,1776,1822,10,Barent Gardenier,G000049,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000049,GB0026
"Gardner, Francis",Representative,Republican,NH,1771,1835,10,Francis Gardner,G000052,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000052,GF0006
"Gholson, Thomas, Jr.",Representative,Republican,VA,NA,1816,10,Thomas Gholson,G000150,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000150,GT0111
"Howard, Benjamin",Representative,Republican,KY,1760,1814,10,Benjamin Howard,H000834,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000834,HB0032
"Harris, John",Representative,Republican,NY,1760,1824,10,John Harris,H000245,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000245,HJ0541
"Hiester, John",Representative,Republican,PA,1745,1821,10,John Hiester,H000573,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000573,HJ0784
"Humphrey, Reuben",Representative,Republican,NY,1757,1831,10,Reuben Humphrey,H000957,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000957,HR0127
"Ilsley, Daniel",Representative,Republican,MA,1740,1813,10,Daniel Ilsley,I000009,http://bioguide.congress.gov/scripts/biodisplay.pl?index=I000009,ID0002
"Jones, George",Senator,Democratic Republican,GA,1766,1838,10,George Jones,J000220,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000220,JG0000
"Johnson, Richard Mentor",Representative,Democratic Republican,KY,1780,1850,10,Richard Mentor Johnson,J000170,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000170,JR0007
"Jenkins, Robert",Representative,Federalist,PA,1769,1848,10,Robert Jenkins,J000087,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000087,JR0031
"Jackson, Richard, Jr.",Representative,Federalist,RI,1764,1838,10,Richard Jackson,J000025,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000025,JR0052
"Key, Philip Barton",Representative,Federalist,MD,1757,1815,10,Philip Barton Key,K000159,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000159,KP0001
"Kirkpatrick, William",Representative,Republican,NY,1769,1832,10,William Kirkpatrick,K000239,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000239,KW0057
"Livermore, Edward St. Loe",Representative,Federalist,MA,1762,1832,10,Edward St. Loe Livermore,L000363,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000363,LE0034
"Lloyd, James",Senator,Federalist,MA,1769,1831,10,James Lloyd,L000378,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000378,LJ0070
"Love, John",Representative,Republican,VA,NA,1822,10,John Love,L000456,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000456,LJ0561
"Montgomery, Daniel, Jr.",Representative,Republican,PA,1765,1831,10,Daniel Montgomery,M000864,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000864,MD0233
