id,town,county,state,ccd_id,lat,lon,me_town_id
va.uscongress.12.1811,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.houseofdelegates.richmondcity.1811,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.houseofdelegates.richmondcity.1791,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.houseofdelegates.williamsburg.1818,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.houseofdelegates.petersburg.1818,Petersburg,NA,Virginia,7004,37.2047302,-77.3923681,ME-VA0003
va.statesenate.1.1.1818,Petersburg,NA,Virginia,7004,37.2047302,-77.3923681,ME-VA0003
va.special.uscongress.19.1818,Petersburg,NA,Virginia,7004,37.2047302,-77.3923681,ME-VA0003
va.statesenate.1.3.1818,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.statesenate.1.3.1818,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.uscongress.13.1819,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.uscongress.12.1805,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.houseofdelegates.richmondcity.1794,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
