town,state,city_state,lat,lon,administrative_area_level_3,administrative_area_level_2,administrative_area_level_1,checked
Charlotte,Vermont,"Charlotte, Vermont",44.3098476,-73.2609928,NA,Chittenden County,Vermont,TRUE
Chelsea,Vermont,"Chelsea, Vermont",43.989788,-72.4475994,NA,Orange County,Vermont,TRUE
Chester,Vermont,"Chester, Vermont",43.2628476,-72.5951082,NA,Windsor County,Vermont,TRUE
Chittenden,Vermont,"Chittenden, Vermont",43.7271064,-72.9428417,Brandon,Rutland County,Vermont,TRUE
Chittendon,Vermont,"Chittendon, Vermont",43.7271064,-72.9428417,Brandon,Rutland County,Vermont,TRUE
Claredon,Vermont,"Claredon, Vermont",43.5478671,-72.9696779,NA,Rutland County,Vermont,TRUE
Clarendon,Vermont,"Clarendon, Vermont",43.5478671,-72.9696779,NA,Rutland County,Vermont,TRUE
Concord,Vermont,"Concord, Vermont",44.42092350000001,-71.8369768,Littleton,Essex County,Vermont,TRUE
Corinth,Vermont,"Corinth, Vermont",44.0275697,-72.2797442,Bradford,Orange County,Vermont,TRUE
Cornwall,Vermont,"Cornwall, Vermont",43.960893,-73.2103951,Middlebury,Addison County,Vermont,TRUE
Coventry,Vermont,"Coventry, Vermont",44.867617,-72.2616067,NA,Orleans County,Vermont,TRUE
Craftsbury,Vermont,"Craftsbury, Vermont",44.6367179,-72.3726071,NA,Orleans County,Vermont,TRUE
Danby,Vermont,"Danby, Vermont",43.3548341,-73.0475498,NA,Rutland County,Vermont,TRUE
Danville,Vermont,"Danville, Vermont",44.4114954,-72.14009,NA,Caledonia County,Vermont,TRUE
Derby,Vermont,"Derby, Vermont",44.9639953,-72.13450689999999,NA,Orleans County,Vermont,TRUE
Deweysburgh,Vermont,"Deweysburgh, Vermont",44.38346,-72.176369,NA,Caledonia County,Vermont,TRUE
Dorset,Vermont,"Dorset, Vermont",43.2548074,-73.0987801,Manchester,Bennington County,Vermont,TRUE
Dover,Vermont,"Dover, Vermont",42.943669,-72.8025938,Brattleboro,Windham County,Vermont,TRUE
Dummerston,Vermont,"Dummerston, Vermont",42.9215017,-72.5838146,Brattleboro,Windham County,Vermont,TRUE
Duncansboro,Vermont,"Duncansboro, Vermont",44.93746348870253,-72.20643997192383,NA,NA,Vermont,TRUE
Duncansborough,Vermont,"Duncansborough, Vermont",44.935883767592586,-72.20738410949707,NA,NA,Vermont,TRUE
Duxbury,Vermont,"Duxbury, Vermont",44.3270012,-72.7526175,Waterbury,Washington County,Vermont,TRUE
Eden,Vermont,"Eden, Vermont",44.7072718,-72.5456691,Johnson,Lamoille County,Vermont,TRUE
Elmore,Vermont,"Elmore, Vermont",44.5274632,-72.5187486,NA,Lamoille County,Vermont,TRUE
Enosburg,Vermont,"Enosburg, Vermont",44.8689592,-72.73104579999999,NA,Franklin County,Vermont,TRUE
Enosburgh,Vermont,"Enosburgh, Vermont",44.8689592,-72.73104579999999,NA,Franklin County,Vermont,TRUE
Fairfax,Vermont,"Fairfax, Vermont",44.6654963,-73.01032,Milton,Franklin County,Vermont,TRUE
Fairfield,Vermont,"Fairfield, Vermont",44.8019921,-72.9456936,Swanton,Franklin County,Vermont,TRUE
Fairlee,Vermont,"Fairlee, Vermont",43.9053567,-72.1518675,Bradford,Orange County,Vermont,TRUE
Fayston,Vermont,"Fayston, Vermont",44.2074374,-72.8756638,NA,Washington County,Vermont,TRUE
Ferrisburg,Vermont,"Ferrisburg, Vermont",44.2056098,-73.2462341,NA,Addison County,Vermont,TRUE
Ferrisburgh,Vermont,"Ferrisburgh, Vermont",44.2056098,-73.2462341,NA,Addison County,Vermont,TRUE
Fletcher,Vermont,"Fletcher, Vermont",44.6752213,-72.9238412,NA,Franklin County,Vermont,TRUE
Franklin,Vermont,"Franklin, Vermont",44.9812585,-72.91655469999999,NA,Franklin County,Vermont,TRUE
Georgia,Vermont,"Georgia, Vermont",44.7392004,-73.13012049999999,Milton,Franklin County,Vermont,TRUE
Glover,Vermont,"Glover, Vermont",44.7069038,-72.1869766,NA,Orleans County,Vermont,TRUE
Goshen,Vermont,"Goshen, Vermont",43.8601051,-72.99775340000001,Brandon,Addison County,Vermont,TRUE
Grafton,Vermont,"Grafton, Vermont",43.1716817,-72.6064633,NA,Windham County,Vermont,TRUE
Granby,Vermont,"Granby, Vermont",44.57061059999999,-71.758702,NA,Essex County,Vermont,TRUE
Grand Isle,Vermont,"Grand Isle, Vermont",44.72254359999999,-73.2923538,NA,Grand Isle County,Vermont,TRUE
Grande Isle,Vermont,"Grande Isle, Vermont",44.72254359999999,-73.2923538,NA,Grand Isle County,Vermont,TRUE
Greensboro,Vermont,"Greensboro, Vermont",44.6107836,-72.3046033,NA,Orleans County,Vermont,TRUE
Greensborough,Vermont,"Greensborough, Vermont",44.6107836,-72.3046033,NA,Orleans County,Vermont,TRUE
Groton,Vermont,"Groton, Vermont",44.21617060273111,-72.2018051147461,NA,Caledonia County,Vermont,TRUE
Grover,Vermont,"Grover, Vermont",44.707462220170775,-72.18669891357422,NA,Rutland County,Vermont,TRUE
Guildford,Vermont,"Guildford, Vermont",42.8170235,-72.575487,Brattleboro,Windham County,Vermont,TRUE
Guildhall,Vermont,"Guildhall, Vermont",44.56919223717382,-71.58365249633789,Lancaster,Essex County,Vermont,TRUE
Guilford,Vermont,"Guilford, Vermont",42.8170235,-72.575487,Brattleboro,Windham County,Vermont,TRUE
Halifax,Vermont,"Halifax, Vermont",42.7698048,-72.7453716,Brattleboro,Windham County,Vermont,TRUE
Hancock,Vermont,"Hancock, Vermont",43.9261192,-72.8412292,NA,Addison County,Vermont,TRUE
Hardwick,Vermont,"Hardwick, Vermont",44.5416243,-72.3486803,NA,Caledonia County,Vermont,TRUE
Hardwicke,Vermont,"Hardwicke, Vermont",44.5416243,-72.3486803,NA,Caledonia County,Vermont,TRUE
Hartland,Vermont,"Hartland, Vermont",43.540636,-72.3989314,NA,Windsor County,Vermont,TRUE
Harwich,Vermont,"Harwich, Vermont",43.34615368345727,-72.94921875,10,East Baton Rouge Parish,Louisiana,TRUE
Highgate,Vermont,"Highgate, Vermont",44.9565227,-73.0511203,NA,Franklin County,Vermont,TRUE
Hinesburg,Vermont,"Hinesburg, Vermont",44.3292199,-73.11067899999999,Bristol,Chittenden County,Vermont,TRUE
Hinesburgh,Vermont,"Hinesburgh, Vermont",44.3292199,-73.11067899999999,Bristol,Chittenden County,Vermont,TRUE
Hinsdale,Vermont,"Hinsdale, Vermont",42.75709622397268,-72.522125244140625,Brattleboro,Cheshire County,New Hampshire,TRUE
Holland,Vermont,"Holland, Vermont",44.9684078,-72.0027446,NA,Orleans County,Vermont,TRUE
Hubbardton,Vermont,"Hubbardton, Vermont",43.7073648,-73.1845482,Brandon,Rutland County,Vermont,TRUE
Hubbarton,Vermont,"Hubbarton, Vermont",43.7073648,-73.1845482,Brandon,Rutland County,Vermont,TRUE
Hungerford,Vermont,"Hungerford, Vermont",44.479167,-73.207076,NA,Chittenden County,Vermont,NA
Huntingdon,Vermont,"Huntingdon, Vermont",44.3253512,-72.9873459,NA,Chittenden County,Vermont,TRUE
Huntington,Vermont,"Huntington, Vermont",44.3253512,-72.9873459,NA,Chittenden County,Vermont,TRUE
Huntsburgh,Vermont,"Huntsburgh, Vermont",44.98277082065612,-72.91488647460936,Bristol,Chittenden County,Vermont,TRUE
Hyde Park,Vermont,"Hyde Park, Vermont",44.5939318,-72.6165192,Johnson,Lamoille County,Vermont,TRUE
Hydepark,Vermont,"Hydepark, Vermont",44.5939318,-72.6165192,Johnson,Lamoille County,Vermont,TRUE
Ira,Vermont,"Ira, Vermont",43.5345134,-73.0620512,NA,Rutland County,Vermont,TRUE
Irasburg,Vermont,"Irasburg, Vermont",44.80338159999999,-72.2795489,NA,Orleans County,Vermont,TRUE
Irasburgh,Vermont,"Irasburgh, Vermont",44.80338159999999,-72.2795489,NA,Orleans County,Vermont,TRUE
Isle Motte,Vermont,"Isle Motte, Vermont",44.8769853,-73.3387437,NA,Grand Isle County,Vermont,TRUE
Isle of Motte,Vermont,"Isle of Motte, Vermont",44.8769853,-73.3387437,NA,Grand Isle County,Vermont,TRUE
Jamaica,Vermont,"Jamaica, Vermont",43.1003556,-72.7784296,NA,Windham County,Vermont,TRUE
Jamica,Vermont,"Jamica, Vermont",43.1003556,-72.7784296,NA,Windham County,Vermont,TRUE
Jericho,Vermont,"Jericho, Vermont",44.5039395,-72.99762659999999,Jericho,Chittenden County,Vermont,TRUE
Johnson,Vermont,"Johnson, Vermont",44.6356063,-72.6803979,Johnson,Lamoille County,Vermont,TRUE
Johnston,Vermont,"Johnston, Vermont",44.6356063,-72.6803979,Johnson,Lamoille County,Vermont,TRUE
Kellyvale,Vermont,"Kellyvale, Vermont",44.800596005888636,-72.44625091552734,NA,NA,Vermont,TRUE
Killington,Vermont,"Killington, Vermont",43.6775677,-72.77982469999999,NA,Rutland County,Vermont,TRUE
Kingston,Vermont,"Kingston, Vermont",43.98540416903878,-72.83832550048828,NA,Dun Laoghaire-Rathdown,County Dublin,TRUE
Kirby,Vermont,"Kirby, Vermont",44.4989626,-71.90692489999999,NA,Caledonia County,Vermont,TRUE
Landgrove,Vermont,"Landgrove, Vermont",43.2624457,-72.8548986,NA,Bennington County,Vermont,TRUE
Leicester,Vermont,"Leicester, Vermont",43.8667293,-73.1078914,Brandon,Addison County,Vermont,TRUE
Lemington,Vermont,"Lemington, Vermont",44.9236819,-71.5553619,NA,Essex County,Vermont,TRUE
Lincoln,Vermont,"Lincoln, Vermont",44.10589280000001,-72.99706119999999,NA,Addison County,Vermont,TRUE
Londonberry,Vermont,"Londonberry, Vermont",43.2264643,-72.8064866,NA,Windham County,Vermont,TRUE
Londonderry,Vermont,"Londonderry, Vermont",43.2264643,-72.8064866,NA,Windham County,Vermont,TRUE
Ludlow,Vermont,"Ludlow, Vermont",43.3959056,-72.7006518,Ludlow,Windsor County,Vermont,TRUE
Lunenburg,Vermont,"Lunenburg, Vermont",44.4631136,-71.6820321,Lancaster,Essex County,Vermont,TRUE
Lunenburgh,Vermont,"Lunenburgh, Vermont",44.4631136,-71.6820321,Lancaster,Essex County,Vermont,TRUE
Lutterloh,Vermont,"Lutterloh, Vermont",44.729662159680615,-72.36968994140624,NA,NA,Vermont,TRUE
Lyndon,Vermont,"Lyndon, Vermont",44.5453088,-72.0000723,NA,Caledonia County,Vermont,TRUE
Maidstone,Vermont,"Maidstone, Vermont",44.6486636,-71.5720307,NA,Essex County,Vermont,TRUE
Manchester,Vermont,"Manchester, Vermont",43.16368749999999,-73.0723268,Manchester,Bennington County,Vermont,TRUE
Mansfield,Vermont,"Mansfield, Vermont",44.5224578704454,-72.87300109863281,NA,Chittenden County,Vermont,TRUE
Marlborough,Vermont,"Marlborough, Vermont",42.859526,-72.72592709999999,Brattleboro,Windham County,Vermont,TRUE
Marshfield,Vermont,"Marshfield, Vermont",44.3508405,-72.3539905,Cabot,Washington County,Vermont,TRUE
Middle Hero,Vermont,"Middle Hero, Vermont",44.720636838185456,-73.29185485839844,NA,Grand Isle County,Vermont,TRUE
Middlesex,Vermont,"Middlesex, Vermont",44.29283580000001,-72.67928069999999,Waterbury,Washington County,Vermont,TRUE
Middleton,Vermont,"Middleton, Vermont",43.48007904040862,-73.11332702636719,NA,Windsor County,Vermont,TRUE
Middletown,Vermont,"Middletown, Vermont",43.48157373999694,-73.11641693115234,NA,Windsor County,Vermont,TRUE
Milton,Vermont,"Milton, Vermont",44.6397701,-73.1104112,Milton,Chittenden County,Vermont,TRUE
Minehead,Vermont,"Minehead, Vermont",44.81277518329375,-71.640472412109375,NA,NA,Vermont,TRUE
Monkton,Vermont,"Monkton, Vermont",44.2200554,-73.1253991,Bristol,Addison County,Vermont,TRUE
Montgomery,Vermont,"Montgomery, Vermont",44.9025466,-72.63817999999999,NA,Franklin County,Vermont,TRUE
Moretown,Vermont,"Moretown, Vermont",44.2508918,-72.7609496,NA,Washington County,Vermont,TRUE
Morgan,Vermont,"Morgan, Vermont",44.892455,-71.97471689999999,NA,Orleans County,Vermont,TRUE
Morristown,Vermont,"Morristown, Vermont",44.5572744,-72.6237275,Johnson,Lamoille County,Vermont,TRUE
Mount Holly,Vermont,"Mount Holly, Vermont",43.4474694,-72.8256382,Ludlow,Rutland County,Vermont,TRUE
Mount Tabor,Vermont,"Mount Tabor, Vermont",43.3506285,-72.9826037,NA,Rutland County,Vermont,TRUE
Mountholly,Vermont,"Mountholly, Vermont",43.4474694,-72.8256382,Ludlow,Rutland County,Vermont,TRUE
Mounttabor,Vermont,"Mounttabor, Vermont",43.3506285,-72.9826037,NA,Rutland County,Vermont,TRUE
Navy,Vermont,"Navy, Vermont",44.84710661304445,-72.024993896484375,"9, Surratts",Prince George's County,Maryland,TRUE
New Fane,Vermont,"New Fane, Vermont",42.9856736,-72.65593129999999,Brattleboro,Windham County,Vermont,TRUE
New Haven,Vermont,"New Haven, Vermont",44.12432769999999,-73.1535713,NA,Addison County,Vermont,TRUE
New Huntington,Vermont,"New Huntington, Vermont",44.32483051938117,-72.96226501464842,NA,Addison County,Vermont,TRUE
Newark,Vermont,"Newark, Vermont",44.7019193,-71.9227434,NA,Caledonia County,Vermont,TRUE
Newbury,Vermont,"Newbury, Vermont",44.08561218844469,-72.0758056640625,Bradford,Orange County,Vermont,TRUE
Newfane,Vermont,"Newfane, Vermont",42.9856736,-72.65593129999999,Brattleboro,Windham County,Vermont,TRUE
Newhaven,Vermont,"Newhaven, Vermont",44.12432769999999,-73.1535713,NA,Addison County,Vermont,TRUE
North Hero,Vermont,"North Hero, Vermont",44.8311432,-73.273505,NA,Grand Isle County,Vermont,TRUE
Norwich,Vermont,"Norwich, Vermont",43.7153482,-72.307869,Hanover,Windsor County,Vermont,TRUE
Orange,Vermont,"Orange, Vermont",44.148376,-72.4030806,NA,Orange County,Vermont,TRUE
Orwell,Vermont,"Orwell, Vermont",43.8039502,-73.2978936,NA,Addison County,Vermont,TRUE
Panton,Vermont,"Panton, Vermont",44.14878909999999,-73.3409878,NA,Addison County,Vermont,TRUE
Parkerston,Vermont,"Parkerston, Vermont",43.65172707699977,-72.9220962524414,NA,NA,Vermont,TRUE
Parkerstown,Vermont,"Parkerstown, Vermont",43.65594991256823,-72.91900634765625,NA,NA,Vermont,TRUE
Pawlet,Vermont,"Pawlet, Vermont",43.3465552,-73.177286,NA,Rutland County,Vermont,TRUE
Pawlett,Vermont,"Pawlett, Vermont",43.3465552,-73.177286,NA,Rutland County,Vermont,TRUE
Peacham,Vermont,"Peacham, Vermont",44.3286166,-72.1704048,Cabot,Caledonia County,Vermont,TRUE
Peru,Vermont,"Peru, Vermont",43.2297974,-72.8978781,NA,Bennington County,Vermont,TRUE
Philadelphia,Vermont,"Philadelphia, Vermont",40.1844323,-74.828043,Falls Township,Bucks County,Pennsylvania,NA
Piitsfield,Vermont,"Piitsfield, Vermont",43.7722884,-72.8128828,NA,Rutland County,Vermont,TRUE
Pittsfield,Vermont,"Pittsfield, Vermont",43.7722884,-72.8128828,NA,Rutland County,Vermont,TRUE
Pittsford,Vermont,"Pittsford, Vermont",43.7067329,-73.02816469999999,Brandon,Rutland County,Vermont,TRUE
Plainfield,Vermont,"Plainfield, Vermont",44.2781151,-72.4264926,NA,Washington County,Vermont,TRUE
Plymouth,Vermont,"Plymouth, Vermont",43.5354332,-72.7219581,Ludlow,Windsor County,Vermont,TRUE
Pomfret,Vermont,"Pomfret, Vermont",43.7270391,-72.4801821,NA,Windsor County,Vermont,TRUE
Poultney,Vermont,"Poultney, Vermont",43.5170325,-73.2362261,NA,Rutland County,Vermont,TRUE
Pownal,Vermont,"Pownal, Vermont",42.76465818533266,-73.2400131225586,NA,Bennington County,Vermont,TRUE
Putney,Vermont,"Putney, Vermont",42.975268,-72.5217237,Brattleboro,Windham County,Vermont,TRUE
Randolph,Vermont,"Randolph, Vermont",43.9247446,-72.6656948,NA,Orange County,Vermont,TRUE
Reading,Vermont,"Reading, Vermont",43.4893362,-72.5914616,Ludlow,Windsor County,Vermont,TRUE
Readsboro,Vermont,"Readsboro, Vermont",42.7718758,-72.9470426,NA,Bennington County,Vermont,TRUE
Readsborough,Vermont,"Readsborough, Vermont",42.7718758,-72.9470426,NA,Bennington County,Vermont,TRUE
Reedsborough,Vermont,"Reedsborough, Vermont",42.767178634023345,-72.94921875,NA,NA,Vermont,TRUE
Reupert,Vermont,"Reupert, Vermont",43.2597979,-73.2228853,NA,Bennington County,Vermont,TRUE
Richford,Vermont,"Richford, Vermont",44.9969955,-72.6713018,NA,Franklin County,Vermont,TRUE
Richmond,Vermont,"Richmond, Vermont",44.4053135,-72.9924128,Jericho,Chittenden County,Vermont,TRUE
Rochester,Vermont,"Rochester, Vermont",43.8745646,-72.80801799999999,NA,Windsor County,Vermont,TRUE
Rockingham,Vermont,"Rockingham, Vermont",43.1876028,-72.4889288,NA,Windham County,Vermont,TRUE
Roxbury,Vermont,"Roxbury, Vermont",44.0939388,-72.7329823,Northfield,Washington County,Vermont,TRUE
Royalston,Vermont,"Royalston, Vermont",43.81765739999999,-72.5427505,NA,Windsor County,Vermont,TRUE
Royalton,Vermont,"Royalton, Vermont",43.81765739999999,-72.5427505,NA,Windsor County,Vermont,TRUE
Rupert,Vermont,"Rupert, Vermont",43.2597979,-73.2228853,NA,Bennington County,Vermont,TRUE
Ryegate,Vermont,"Ryegate, Vermont",44.2387639,-72.1160864,NA,Caledonia County,Vermont,TRUE
Saint Albans,Vermont,"Saint Albans, Vermont",44.8107132,-73.0835582,NA,Franklin County,Vermont,TRUE
Saint George,Vermont,"Saint George, Vermont",44.3775898,-73.1253641,NA,Chittenden County,Vermont,TRUE
Saint Johnsbury,Vermont,"Saint Johnsbury, Vermont",44.4192627,-72.0151183,NA,Caledonia County,Vermont,TRUE
Salem,Vermont,"Salem, Vermont",44.94123034058637,-72.06138610839844,Salem,Washington County,New York,TRUE
Salisbury,Vermont,"Salisbury, Vermont",43.8964511,-73.09983629999999,NA,Addison County,Vermont,TRUE
Sandgate,Vermont,"Sandgate, Vermont",43.1477916,-73.19942429999999,NA,Bennington County,Vermont,TRUE
Shaftsbury,Vermont,"Shaftsbury, Vermont",42.953155935455975,-73.20808410644531,NA,Bennington County,Vermont,TRUE
Sharon,Vermont,"Sharon, Vermont",43.7852344,-72.4541709,NA,Windsor County,Vermont,TRUE
Sheffield,Vermont,"Sheffield, Vermont",44.6019975,-72.1139881,NA,Caledonia County,Vermont,TRUE
Shelbourne,Vermont,"Shelbourne, Vermont",44.3806065,-73.227626,Willsboro,Chittenden County,Vermont,TRUE
Shelburn,Vermont,"Shelburn, Vermont",44.3806065,-73.227626,Willsboro,Chittenden County,Vermont,TRUE
Shelburne,Vermont,"Shelburne, Vermont",44.3806065,-73.227626,Willsboro,Chittenden County,Vermont,TRUE
Sheldon,Vermont,"Sheldon, Vermont",44.8817124,-72.9429124,Swanton,Franklin County,Vermont,TRUE
Sherburne,Vermont,"Sherburne, Vermont",44.3806065,-73.227626,Willsboro,Chittenden County,Vermont,TRUE
Shoreham,Vermont,"Shoreham, Vermont",43.8936708,-73.3159515,NA,Addison County,Vermont,TRUE
Shrewsbury,Vermont,"Shrewsbury, Vermont",43.50895879999999,-72.8667686,NA,Rutland County,Vermont,TRUE
Smithfield,Vermont,"Smithfield, Vermont",35.4975365,-78.3589987,Smithfield,Johnston County,North Carolina,NA
Somerset,Vermont,"Somerset, Vermont",42.9502858,-72.9862472,Bennington,Windham County,Vermont,TRUE
South Hero,Vermont,"South Hero, Vermont",44.6453228,-73.3023532,NA,Grand Isle County,Vermont,TRUE
Stafford,Vermont,"Stafford, Vermont",43.86645679999999,-72.37787279999999,NA,Orange County,Vermont,TRUE
Stamford,Vermont,"Stamford, Vermont",42.7561535,-73.0679253,Bennington,Bennington County,Vermont,TRUE
Stanford,Vermont,"Stanford, Vermont",42.7561535,-73.0679253,Bennington,Bennington County,Vermont,TRUE
Starksboro,Vermont,"Starksboro, Vermont",44.2272782,-73.05734269999999,NA,Addison County,Vermont,TRUE
Starksborough,Vermont,"Starksborough, Vermont",44.2272782,-73.05734269999999,NA,Addison County,Vermont,TRUE
Sterling,Vermont,"Sterling, Vermont",44.53445089340452,-72.69962310791016,Sugarland Run,Loudoun County,Virginia,TRUE
Stockbridge,Vermont,"Stockbridge, Vermont",43.781319501660164,-72.788543701171875,NA,Windsor County,Vermont,TRUE
Stow,Vermont,"Stow, Vermont",44.4654332,-72.6874023,NA,Lamoille County,Vermont,TRUE
Stowe,Vermont,"Stowe, Vermont",44.4654332,-72.6874023,NA,Lamoille County,Vermont,TRUE
Strafford,Vermont,"Strafford, Vermont",43.86645679999999,-72.37787279999999,NA,Orange County,Vermont,TRUE
Stratton,Vermont,"Stratton, Vermont",43.0428562,-72.9109334,Manchester,Windham County,Vermont,TRUE
Sudbury,Vermont,"Sudbury, Vermont",43.7992291,-73.2045583,Brandon,Rutland County,Vermont,TRUE
Sunderland,Vermont,"Sunderland, Vermont",43.11139379999999,-73.1180595,NA,Bennington County,Vermont,TRUE
Sutton,Vermont,"Sutton, Vermont",44.6331085,-72.02565249999999,NA,Caledonia County,Vermont,TRUE
Tenmouth,Vermont,"Tenmouth, Vermont",43.448682,-73.0495501,NA,Rutland County,Vermont,TRUE
Thetford,Vermont,"Thetford, Vermont",43.8250578,-72.2434689,NA,Orange County,Vermont,TRUE
Tinmouth,Vermont,"Tinmouth, Vermont",43.448682,-73.0495501,NA,Rutland County,Vermont,TRUE
Topsham,Vermont,"Topsham, Vermont",44.12811929999999,-72.25509559999999,NA,Orange County,Vermont,TRUE
Topshaw,Vermont,"Topshaw, Vermont",44.12811929999999,-72.25509559999999,NA,Orange County,Vermont,TRUE
Townsend,Vermont,"Townsend, Vermont",43.0472267,-72.6678428,NA,Windham County,Vermont,TRUE
Townshend,Vermont,"Townshend, Vermont",43.0472267,-72.6678428,NA,Windham County,Vermont,TRUE
Troy,Vermont,"Troy, Vermont",44.9042338,-72.4058438,Potton,Orleans County,Vermont,TRUE
Tunbridge,Vermont,"Tunbridge, Vermont",43.9198761,-72.4782827,NA,Orange County,Vermont,TRUE
Turnbridge,Vermont,"Turnbridge, Vermont",43.9198761,-72.4782827,NA,Orange County,Vermont,TRUE
Underhill,Vermont,"Underhill, Vermont",44.5258842,-72.9451267,Jericho,Chittenden County,Vermont,TRUE
Vernon,Vermont,"Vernon, Vermont",42.7620271,-72.5134223,Brattleboro,Windham County,Vermont,TRUE
Vershire,Vermont,"Vershire, Vermont",43.9729649,-72.3395077,NA,Orange County,Vermont,TRUE
Vineyard,Vermont,"Vineyard, Vermont",44.87801174364898,-73.33854675292969,NA,San Diego County,California,TRUE
Waitsfield,Vermont,"Waitsfield, Vermont",44.1926386,-72.7798479,Northfield,Washington County,Vermont,TRUE
Walden,Vermont,"Walden, Vermont",44.4497781,-72.2231563,Cabot,Caledonia County,Vermont,TRUE
Wallingford,Vermont,"Wallingford, Vermont",43.4717467,-72.9773692,NA,Rutland County,Vermont,TRUE
Waltham,Vermont,"Waltham, Vermont",44.1409284,-73.2425607,NA,Addison County,Vermont,TRUE
Wardsboro,Vermont,"Wardsboro, Vermont",43.04095119999999,-72.78979749999999,NA,Windham County,Vermont,TRUE
Wardsborough,Vermont,"Wardsborough, Vermont",43.04095119999999,-72.78979749999999,NA,Windham County,Vermont,TRUE
