candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote,ahcb_county,id,fips
2,Columbia,ny.uscongress5.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,Matthew Adgate,AM0007,Anti-Federalist,A02,723,COLUMBIA,nys_columbia,36021
3,Columbia,ny.uscongress5.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,John Williams,WJ0409,Anti-Federalist,A02,NA,COLUMBIA,nys_columbia,36021
1,Washington,ny.uscongress5.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,Peter Sylvester,SP0060,Federalist,A01,147,WASHINGTON,nys_washington,36115
2,Washington,ny.uscongress5.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,Matthew Adgate,AM0007,Anti-Federalist,A02,248,WASHINGTON,nys_washington,36115
3,Washington,ny.uscongress5.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,John Williams,WJ0409,Anti-Federalist,A02,14,WASHINGTON,nys_washington,36115
1,Albany,ny.uscongress6.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Jeremiah Van Rensselaer,VJ0189,Anti-Federalist,A02,NA,ALBANY,nys_albany,36001
2,Albany,ny.uscongress6.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Abraham Ten Broeck,TA0014,Federalist,A01,NA,ALBANY,nys_albany,36001
1,Montgomery,ny.uscongress6.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Jeremiah Van Rensselaer,VJ0189,Anti-Federalist,A02,NA,MONTGOMERY,nys_montgomery,36057
2,Montgomery,ny.uscongress6.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 6",U.S. House of Representatives,ON125,Abraham Ten Broeck,TA0014,Federalist,A01,NA,MONTGOMERY,nys_montgomery,36057
1,Kings,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,James Townsend,TJ0286,Federalist,A01,6,KINGS,nys_kings,36047
2,Kings,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,John Vanderbilt,VJ0061,Federalist,A01,209,KINGS,nys_kings,36047
3,Kings,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,William Floyd,FW0034,Anti-Federalist,A02,83,KINGS,nys_kings,36047
4,Kings,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Thomas Tredwell,TT0055,Anti-Federalist,A02,7,KINGS,nys_kings,36047
5,Kings,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Ezra L'Hommedieu,LE0003,Anti-Federalist,A02,1,KINGS,nys_kings,36047
1,Queens,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,James Townsend,TJ0286,Federalist,A01,581,QUEENS,nys_queens,36081
2,Queens,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,John Vanderbilt,VJ0061,Federalist,A01,64,QUEENS,nys_queens,36081
3,Queens,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,William Floyd,FW0034,Anti-Federalist,A02,47,QUEENS,nys_queens,36081
4,Queens,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Thomas Tredwell,TT0055,Anti-Federalist,A02,45,QUEENS,nys_queens,36081
5,Queens,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Ezra L'Hommedieu,LE0003,Anti-Federalist,A02,139,QUEENS,nys_queens,36081
1,Richmond,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,James Townsend,TJ0286,Federalist,A01,NA,RICHMOND,nys_richmond,36085
2,Richmond,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,John Vanderbilt,VJ0061,Federalist,A01,54,RICHMOND,nys_richmond,36085
3,Richmond,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,William Floyd,FW0034,Anti-Federalist,A02,23,RICHMOND,nys_richmond,36085
4,Richmond,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Thomas Tredwell,TT0055,Anti-Federalist,A02,NA,RICHMOND,nys_richmond,36085
5,Richmond,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Ezra L'Hommedieu,LE0003,Anti-Federalist,A02,NA,RICHMOND,nys_richmond,36085
1,Suffolk,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,James Townsend,TJ0286,Federalist,A01,5,SUFFOLK,nys_suffolk,36103
2,Suffolk,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,John Vanderbilt,VJ0061,Federalist,A01,NA,SUFFOLK,nys_suffolk,36103
3,Suffolk,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,William Floyd,FW0034,Anti-Federalist,A02,166,SUFFOLK,nys_suffolk,36103
4,Suffolk,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Thomas Tredwell,TT0055,Anti-Federalist,A02,232,SUFFOLK,nys_suffolk,36103
5,Suffolk,ny.uscongress1.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 1",U.S. House of Representatives,ON125,Ezra L'Hommedieu,LE0003,Anti-Federalist,A02,7,SUFFOLK,nys_suffolk,36103
1,New York,ny.uscongress2.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,John Laurence,LJ0218,Federalist,A01,587,NEW YORK,nys_newyork,36061
2,New York,ny.uscongress2.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,Melancton Smith,SM0075,Anti-Federalist,A02,11,NEW YORK,nys_newyork,36061
1,Westchester,ny.uscongress2.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,John Laurence,LJ0218,Federalist,A01,104,WESTCHESTER,nys_westchester,36119
2,Westchester,ny.uscongress2.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 2",U.S. House of Representatives,ON125,Melancton Smith,SM0075,Anti-Federalist,A02,NA,WESTCHESTER,nys_westchester,36119
1,Dutchess,ny.uscongress3.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Egbert Benson,BE0171,Federalist,A01,471,DUTCHESS,nys_dutchess,36027
2,Dutchess,ny.uscongress3.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Theodorus Bailey,BT0171,Anti-Federalist,A02,447,DUTCHESS,nys_dutchess,36027
1,Westchester,ny.uscongress3.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Egbert Benson,BE0171,Federalist,A01,252,WESTCHESTER,nys_westchester,36119
2,Westchester,ny.uscongress3.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Theodorus Bailey,BT0171,Anti-Federalist,A02,21,WESTCHESTER,nys_westchester,36119
1,Orange,ny.uscongress4.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Cornelius C. Schoonmaker,SC0076,Anti-Federalist,A02,522,ORANGE,nys_orange,36071
2,Orange,ny.uscongress4.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Peter Van Gaesbeck,VP0015,Federalist,A01,20,ORANGE,nys_orange,36071
3,Orange,ny.uscongress4.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John Hathorn,HJ0485,Federalist,A01,61,ORANGE,nys_orange,36071
4,Orange,ny.uscongress4.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Christopher Tappen,TC0039,Anti-Federalist,A02,13,ORANGE,nys_orange,36071
5,Orange,ny.uscongress4.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,William Arnold,AW0049,null,null,1,ORANGE,nys_orange,36071
6,Orange,ny.uscongress4.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,P. Tappen,TP0033,null,null,1,ORANGE,nys_orange,36071
7,Orange,ny.uscongress4.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,W. Thompson,TW0052,null,null,1,ORANGE,nys_orange,36071
1,Ulster,ny.uscongress4.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Cornelius C. Schoonmaker,SC0076,Anti-Federalist,A02,376,ULSTER,nys_ulster,36111
2,Ulster,ny.uscongress4.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Peter Van Gaesbeck,VP0015,Federalist,A01,733,ULSTER,nys_ulster,36111
3,Ulster,ny.uscongress4.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John Hathorn,HJ0485,Federalist,A01,NA,ULSTER,nys_ulster,36111
4,Ulster,ny.uscongress4.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,Christopher Tappen,TC0039,Anti-Federalist,A02,NA,ULSTER,nys_ulster,36111
5,Ulster,ny.uscongress4.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,William Arnold,AW0049,null,null,NA,ULSTER,nys_ulster,36111
6,Ulster,ny.uscongress4.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,P. Tappen,TP0033,null,null,NA,ULSTER,nys_ulster,36111
7,Ulster,ny.uscongress4.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,W. Thompson,TW0052,null,null,NA,ULSTER,nys_ulster,36111
1,Albany,ny.uscongress5.1790,1790,1790,General,"New York 1790 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,Peter Sylvester,SP0060,Federalist,A01,562,ALBANY,nys_albany,36001
